"Name";"Feature ";"Products ";"Cells";"Empty Cells";"Ratio EmCell";"Nombre de Features Homogenes";"Ratio de Features Homogenes";"Testing Score"
"euro2016.pcm";"5";"24";"120";"0";"0.0";"4";"80.0";"0"
"Comparison_of_VoIP_software_1.pcm";"9";"15";"135";"3";"2.2222222222222223";"2";"22.22222222222222";"0"
"Comparison_of_VoIP_software_2.pcm";"8";"4";"32";"2";"6.25";"7";"87.5";"0"
"en_seeds.pcm";"17";"100";"1700";"124";"7.294117647058823";"13";"76.47058823529412";"0"
"en_candies.pcm";"12";"1001";"12012";"2661";"22.15284715284715";"4";"33.333333333333336";"0"
"Comparison_of_VoIP_software_3.pcm";"8";"24";"192";"0";"0.0";"3";"37.5";"0"
"example.pcm";"24";"43";"1032";"0";"0.0";"22";"91.66666666666667";"0"
"Comparison_of_VoIP_software_0.pcm";"10";"41";"410";"4";"0.975609756097561";"1";"10.0";"0"
"en_beers.pcm";"12";"1001";"12012";"4869";"40.53446553446553";"7";"58.333333333333336";"0"
"en_seafood.pcm";"18";"2234";"40212";"11860";"29.493683477568887";"4";"22.22222222222222";"0"
"erasmus.pcm";"11";"176";"1936";"0";"0.0";"9";"81.81818181818181";"0"
