"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
"26038728";"Remix gélifiés";"[""France""]";"{""amidon-de-ble"":""amidon de _blé_."",""e100"":""E100"",""contient-des-sulfites"":""contient des _sulfites_"",""sirop-de-glucose"":""Sirop de glucose"",""e120"":""E120"",""e131"":""E131"",""matiere-grasse-vegetale"":""matière grasse végétale"",""cire-de-carnauba"":""cire de carnauba"",""farine-de-ble"":""farine de _blé_"",""acidifiant"":""acidifiant"",""palme"":""palme"",""agent-d-enrobage"":""agent d'enrobage"",""acide-citrique"":""acide citrique"",""coprah"":""coprah"",""huile-vegetale"":""huile végétale"",""colorants"":""colorants"",""gelatine"":""gélatine"",""suc-de-reglisse"":""suc de réglisse"",""sel"":""sel"",""poudre-de-lait-entier"":""poudre de _lait_ entier"",""e160c"":""E160c"",""sirop-de-sucre-melasse"":""sirop de sucre mélassé"",""aromes"":""arômes"",""sucre"":""sucre""}";"[""Petit Furet""]";"[""Harnes""]";""
"828821000074";"Rayyan natural mineral water";"[""Qatar""]";"null";"[""Rayyan""]";"null";""
"827924004057";"Vin de Glace";"[""Canada""]";"{""raisins"":""Raisins""}";"[""Vignoble de l'Orpailleur""]";"null";""
"20205546";"Jus multivitaminé";"[""France""]";"null";"[""Vitafit""]";"[""Lidl""]";""
"2034975199993";"Espresso Caffee en grain 1Kg";"[""France""]";"null";"null";"null";""
"3567747050226";"2 Millefeuilles";"[""France""]";"{""huiles-vegetales"":""huiles végétales"",""colza"":""colza"",""gluten"":""GLUTEN"",""24"":""24‚"",""acidifiant-e334"":""acidifiant E334"",""carotene-\r\n\r\nfeuilletage"":""carotène.\r\n\r\nFeuilletage"",""e263"":""E263"",""matiere-grasse-vegetale"":""matière grasse végétale"",""sirop-de-sorbitol"":""sirop de sorbitol"",""poudre-de-lait-ecreme"":""poudre de LAIT écrémé"",""humectant"":""humectant"",""lait"":""LAIT"",""alginates"":""alginates"",""eau"":""eau"",""chocolat-en-poudre"":""chocolat en poudre"",""sel"":""sel"",""beta"":""bêta"",""colorant"":""colorant"",""poudre-de-lactoserum"":""poudre de lactosérum"",""emulsifiant-e471"":""émulsifiant E471"",""farine-de-ble-fermente-ou-non"":""farine de blé fermenté ou non"",""sirop-de-glucose"":""sirop de glucose"",""e450"":""E450"",""e473"":""E473"",""amidon-de-pomme-de-terre"":""amidon de pomme de terre"",""aromes-\r\n\r\nglacage-marbre"":""arômes.\r\n\r\nGlaçage marbré"",""e471"":""E471"",""e172"":""E172"",""palme"":""palme"",""creme-patissiere"":""Crème pâtissière"",""coco"":""coco"",""gelifiants"":""gélifiants"",""huile-et-matiere-grasse-vegetales"":""huile et matière grasse végétales"",""arome"":""arôme."",""e339"":""E339"",""emulsifiants"":""émulsifiants"",""64"":""64‚"",""sucre"":""sucre""}";"[""Jean Michel Combaz""]";"[""Carrefour City""]";""
"3560467100042";"Poudre de thé vert Matcha";"[""France""]";"{""the-vert-matcha-issu-de-l-agriculture-biologique"":""thé vert Matcha issu de l'agriculture biologique""}";"null";"[""Grandeur Nature""]";""
"3560467790496";"Tisane petit déjeuner ";"[""France""]";"{""citronnelle-bio"":""citronnelle bio"",""calendula-bio"":""calendula bio"",""bio"":""bio"",""hibiscus-bio"":""hibiscus bio"",""bleuet-bio"":""bleuet bio"",""cynorhodon"":""cynorhodon"",""menthe-verte-bio"":""menthe verte bio"",""morceaux-de-pommes-bio"":""morceaux de pommes bio"",""paquerette-bio"":""pâquerette bio"",""eglantier"":""églantier"",""fraise-bio"":""fraise bio""}";"[""Hildegarde de Bingen""]";"[""BioCoop""]";""
"3560070824427";"Sir'hop grenadine";"[""France""]";"{""jus-de-fruits-a-base-de-concentre"":""jus de fruits à base de concentré"",""acide-citrique"":""acide citrique"",""fraise"":""fraise"",""eau"":""eau"",""acidifiant"":""acidifiant"",""framboise"":""framboise"",""arome"":""arôme."",""sureau"":""sureau"",""citron"":""citron"",""sucre"":""Sucre""}";"[""Carrefour Kids""]";"[""Carrefour""]";""
"3560070821884";"Thé Glacé saveur Pêche";"[""France""]";"{""citrates-de-sodium"":""citrates de sodium"",""acidifiant"":""acidifiant"",""acide-ascorbique"":""acide ascorbique"",""1-1-g-l"":""1‚1 g/L"",""jus-de-peche-a-base-de-concentre"":""jus de pêche à base de concentré"",""extraits-de-the"":""extraits de thé"",""0"":""0‚"",""correcteur-d-acidite"":""correcteur d'acidité"",""acide-citrique"":""acide citrique"",""antioxydant"":""antioxydant"",""eau-de-source"":""Eau de source"",""arome"":""arôme."",""sucre"":""sucre""}";"[""Carrefour""]";"[""Carrefour""]";""
