id;product_name;countries;ingredients;brands;stores;image_url;
20616793;"Wholemeal cookies with thyme honey and oat flakes";"France";""farine-de-ble-complet/farine de _blé_ complet","flocons-d-avoine/flocons d'_avoine_","sucre/sucre","beurre/beurre","lait/_lait_","huile-d-olive-extra/huile d'olive extra","noisettes/_noisettes_","miel-de-thym/miel de thym","lait-entier/_lait_ entier","sel/sel","poudre-a-lever/poudre à lever","carbonates-de-sodium/carbonates de sodium",";"Eridanous,Lidl";"Lidl";"http://static.openfoodfacts.org/images/products/20616793/front_fr.11.400.jpg";
3567640105009;"Biscuits de chalais";"France";""farine-de-froment/Farine de froment","sucre/sucre","huile-de-colza/huile de colza","emulsifiant/émulsifiant","mono-et-diglycerides-d-acides-gras/mono et diglycérides d'acides gras","miel/miel","lait-ecreme-en-poudre/lait écrémé en poudre","poudre-levante/poudre levante","bicarbonates-d-ammonium-et-de-sodium/bicarbonates d'ammonium et de sodium","sel/sel","aromes-naturels/arômes naturels",";"";"";"http://static.openfoodfacts.org/images/products/356/764/010/5009/front_fr.10.400.jpg";
3560070290840;"Tartelettes fraise";"France";""farine-de-ble/Farine de _blé_","nappage-a-la-fraise/nappage à la fraise","sirop-de-glucose-fructose/sirop de glucose-fructose","jus-a-base-de-concentre-et-puree-de-fraises/jus à base de concentré et purée de fraises","soit-8-5-sur-l-ensemble-du-produit/soit 8‚5 % sur l'ensemble du produit","sucre/sucre","flocons-de-pommes/flocons de pommes","arome-fraise/arôme fraise","gelifiant/gélifiant","pectines/pectines","correcteur-d-acidite/correcteur d'acidité","acide-citrique/acide citrique","jus-concentre-de-sureau/jus concentré de sureau","colorant/colorant","anthocyanes/anthocyanes)","graisse-de-palme-14/graisse de palme 14‚","sirop-de-glucose/sirop de glucose","sucre/sucre","noix-de-coco-rapee/noix de coco râpée","oeufs-en-poudre/_œufs_ en poudre","sel/sel","poudre-a-lever/poudre à lever","carbonates-d-ammonium/carbonates d'ammonium","carbonates-de-sodium/carbonates de sodium","phosphates-de-calcium/phosphates de calcium","proteines-de-lait/protéines de _lait_","poudre-de-lait-ecreme/poudre de _lait_ écrémé","arome/arôme.",";"Produits Blancs";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/029/0840/front_fr.8.400.jpg";
3560070712519;"Galettes bretonnes";"France";""farine-de-ble/Farine de blé","sucre/sucre","beurre/beurre","oeufs-frais/oeufs frais","sel/sel","carbonate-acide-de-sodium/carbonate acide de sodium","carbonate-acide-d-ammonium/carbonate acide d'ammonium","diphosphate-disodique/diphosphate disodique.",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/071/2519/front_fr.8.400.jpg";
3560070713851;"Sablé coeur à la framboise ";"France";"";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/3851/front_fr.5.400.jpg";
2000000022731;"Original cookies Chocolat Blanc Cranberries";"France";""farine-de-ble/Farine de _blé_","chocolat-blanc/chocolat blanc","arome-naturel-de-vanille/arôme naturel de vanille)","graisse-de-palme/graisse de palme","sucre/sucre","cranberries/cranberries","amidon-de-ble/amidon de _blé_","raisins-secs/raisins secs","blanc-d-oeufs/blanc d'_œufs_","poudre-de-lait-entier/poudre de _lait_ entier","poudre-a-lever/poudre à lever","diphosphates/diphosphates","carbonates-de-sodium/carbonates de sodium","carbonates-d-ammonium/carbonates d'ammonium","emulsifiant/émulsifiant","sel/sel","arome/arôme.","sucre/sucre","beurre-de-cacao/beurre de cacao","poudre-de-lait-entier/poudre de _lait_ entier","lactoserum-en-poudre/_lactosérum_ en poudre","lactose/_lactose_","matiere-grasse-de-lait-anhydre/matière grasse de _lait_ anhydre","emulsifiant/émulsifiant","lecithines/lécithines","soja/_soja_","cranberries/cranberries","soit-4-8-sur-l-ensemble-du-produit/soit 4.8 % sur l'ensemble du produit","sucre-de-canne/sucre de canne","huile-de-tournesol/huile de tournesol","lecithines/lécithines","colza/colza","contient-ble/contient _blé_",";"Carrefour";"Carrefour";"null";
3560070766079;"Galettes à l'avoine Carrefour";"France";""ingredients/Ingrédients","sucre/Sucre","flocons-d-avoine/flocons d'avoine","margarine/margarine","farine-de-ble/farine de blé","oeufs-en-poudre/œufs en poudre","poudre-a-lever/poudre à lever","amidon-de-mais/amidon de maïs.","graisses-et-huiles-vegetales/graisses et huiles végétales","palme/palme","palmiste/palmiste","colza/colza","eau/eau","sel/sel","emulsifiants/émulsifiants","mono/mono","et-diglycerides-d-acides-gras/et diglycérides d'acides gras","arome/arôme","antioxydant/antioxydant","acide-citrique/acide citrique","carbonate-acide-de-sodium/carbonate acide de sodium","diphosphate-disodique/diphosphate disodique","carbonate-acide-d-ammonium/carbonate acide d'ammonium",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/076/6079/front_fr.8.400.jpg";
3560070766390;"Sablés choco lait-coco Carrefour";"France";""cereales-47/Céréales 47‚","chocolat-au-lait/chocolat au lait","graisse-de-palme/graisse de palme","sucre/sucre","noix-de-coco-rapee-7/noix de coco râpée 7‚","poudre-a-lever/poudre à lever","carbonates-d-ammonium-et-carbonates-de-sodium/carbonates d'ammonium et carbonates de sodium","sel/sel","arome/arôme","acidifiant/acidifiant","acide-citrique/acide citrique","sirop-de-glucose-de-ble/sirop de glucose de blé.","farine-de-ble-39/farine de blé 39‚","farine-complete-de-ble-5/farine complète de blé 5‚","farine-de-seigle/farine de seigle","farine-d-orge/farine d'orge","sucre/sucre","beurre-de-cacao/beurre de cacao","pate-de-cacao/pâte de cacao","poudre-de-lait-entier/poudre de lait entier","lactoserum-en-poudre/lactosérum en poudre","matiere-grasse-laitiere-anhydre/matière grasse laitière anhydre","emulsifiant/émulsifiant","lecithine-de-soja/lécithine de soja","arome/arôme",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/076/6390/front_fr.5.400.jpg";
3560070766369;"Chocolat Lait Xplosion";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/076/6369/front_fr.11.400.jpg";
3560070765492;"Les Tartines fruits rouges";"France";""farine-de-ble/Farine de _blé_","sucre/sucre","sirop-de-glucose-fructose/sirop de glucose-fructose","puree-de-fruits-rouges-12/purée de fruits rouges 12‚","beurre-concentre/_beurre_ concentré","puree-de-pommes/purée de pommes","lactoserum-en-poudre/_lactosérum_ en poudre","jus-de-citron-concentre/jus de citron concentré","acidifiants/acidifiants","citrates-de-sodium-et-acide-citrique/citrates de sodium et acide citrique","epaississant/épaississant","alginate-de-sodium/alginate de sodium","poudre-a-lever/poudre à lever","carbonates-de-sodium/carbonates de sodium","tartrates-de-potassium/tartrates de potassium","carbonates-d-ammonium/carbonates d'ammonium","sirop-de-sucre-inverti/sirop de sucre inverti","beurre/_beurre_","amidon-de-ble/amidon de _blé_","gelifiant/gélifiant","pectines/pectines","arome/arôme","emulsifiant/émulsifiant","sel/sel","poudre-de-lait-ecreme/poudre de _lait_ écrémé","arome-vanille/arôme vanille","colorant/colorant","curcumine/curcumine.","framboises/framboises","fraises/fraises","lecithines/lécithines","soja/_soja_",";"Carrefour";"Carrefour City";"http://static.openfoodfacts.org/images/products/356/007/076/5492/front_fr.5.400.jpg";
