id;product_name;countries;ingredients;brands;stores;image_url;
3560070825219;"Biscottes (Croustillantes et dorées) 5 Sachets x 20 (Family Pack)";"France";"farine-de-ble~>Farine de _blé_,sucre~>sucre,levure~>levure,huile-de-palme~>huile de palme,sel~>sel,gluten-de-ble~>gluten de _blé_,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique.";"Carrefour";"Carrefour market";"null";
3560070823291;"Biscottes complètes";"France";"farine-de-ble-complet~>Farine de _blé_ complet,gluten-de-ble~>gluten de _blé_,sucre~>sucre,levure~>levure,huile-vegetale-de-colza~>huile végétale de colza,sel~>sel,dextrose~>dextrose,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique.";"Carrefour";"Carrefour";"null";
3560070824564;"Biscottes braisées";"France";"farine-de-ble~>Farine de _blé_,levure~>levure,graisse-vegetale-de-palme~>graisse végétale de palme,sirop-de-glucose-fructose~>sirop de glucose-fructose,sucre~>sucre,sel~>sel,farine-d-orge-maltee~>farine d'_orge_ maltée,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique.";"Carrefour";"Carrefour";"null";
3560070710713;"Pain grillé au blé complet  bio";"France,Espagne";"farine-de-ble-bio~>Farine de _blé_ Bio,farine-de-ble-complet-bio~>farine de _blé_ complet Bio,huile-vegetale-de-tournesol-bio~>huile végétale de tournesol Bio,sucre~>sucre,sel~>sel,levure~>levure,farine-d-orge-malte-bio~>farine d'_orge_ malté Bio,gluten-de-ble-bio~>gluten de _blé_ Bio,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique";"Carrefour Bio,Carrefour";"Carrefour";"null";
3560070718788;"Flûtes Sticks";"France";"farine-de-ble~>Farine de _blé_,graines-de-sesame~>graines de _sésame_,huile-d-olive-vierge-extra~>huile d'olive vierge extra,lait-ecreme-en-poudre~>_lait_ écrémé en poudre,sel~>sel,levure~>levure,farine-de-malte-d-orge~>farine de malte d'_orge_,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique.";"Carrefour";"";"null";
3560070277254;"Tartine au blé complet";"France";"farine-de-ble-complet~>Farine de _blé_ complet,farine-de-ble~>farine de _blé_,sucre~>sucre,huile-vegetale-de-colza~>huile végétale de colza,lait-ecreme-en-poudre~>_lait_ écrémé en poudre,sel~>sel.";"Carrefour";"Dia";"null";
3560070769704;"Pavé précuit au four à pierre";"France";"farine-de-ble~>Farine de _blé_,eau~>eau,levain~>levain,huile-d-olive-vierge-extra-2~>huile d'olive vierge extra 2‚,levure~>levure,sel~>sel,gluten-de-ble~>gluten de _blé_,farine-de-ble-malte~>farine de _blé_ malté,alcool~>alcool.,farine-de-ble~>farine de _blé_,eau~>eau";"Carrefour";"Carrefour";"null";
3560070593514;"Spécial sandwich nature Maxi Pack";"France";"";"Carrefour";"";"null";
3560070593545;"Spécial sandwich Complet (x 21 Grandes tranches) Maxi Pack";"France";"farine-complete-de-ble~>Farine complète de _blé_,eau~>eau,sucre~>sucre,huile-de-colza~>huile de colza,levure~>levure,gluten-de-ble~>_gluten de blé_,sel~>sel,emulsifiants~>émulsifiants,mono~>mono,et-diglycerides-d-acides-gras~>et diglycérides d'acides gras,esters-monoacetyltartriques-et-diacetyltartriques-des-mono-et-diglycerides-d-acides-gras~>esters monoacétyltartriques et diacétyltartriques des mono- et diglycérides d'acides gras,stearol-2-lactylate-de-sodium~>stéarol-2-lactylate de sodium,dextrose~>dextrose,conservateur~>conservateur,propionate-de-calcium~>propionate de calcium,farine-de-ble~>farine de _blé_,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique.";"Carrefour";"Banque alimentaire";"null";
3560071000493;"Biscottes";"France";"";"Carrefour";"";"null";
3560070420179;"Gressins au sésame et à l'huile d'olive vierge extra 8 g";"France";"farine-de-ble-bio-77g~>Farine de _blé_ bio 77g,graines-de-sesame-bio-21g~>_graines de sésame_ bio 21g,huile-d-olive-vierge-extra-bio-8g~>huile d'olive vierge extra bio 8g,levure~>levure,sel~>sel,farine-de-malt-d-orge-bio~>farine de malt d'_orge_ bio,contient-ble~>contient _blé_,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique.";"Carrefour Bio,Carrefour";"Carrefour";"null";
3560070463862;"Pain spécial de campagne";"France";"farine-de-ble~>Farine de _blé_,eau~>eau,farine-de-seigle-9~>farine de _seigle_ 9‚,levain-issu-de-farines-de-seigle-et-de-ble-malte~>levain issu de farines de _seigle_ et de _blé_ malté,huile-de-colza~>huile de colza,sucre-roux-de-canne-gluten-de-ble~>sucre roux de canne gluten de _blé_,vinaigre-de-cidre~>vinaigre de cidre,sel~>sel,levure~>levure,farine-d-orge-maltee-torrefiee~>farine d'_orge_ maltée torréfiée.";"Carrefour,Carrefour Bio";"Carrefour";"null";
3560070573042;"100 biscottes à la farine complète";"France";"farine-de-ble-complet~>Farine de blé complet,farine-de-ble~>farine de blé,matiere-grasse-vegetale-de-palme~>matière grasse végétale de palme,gluten-de-ble~>gluten de blé,sucre~>sucre,sel~>sel,levure~>levure,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique";"Carrefour Discount";"Carrefour Market";"null";
3560070573011;"Petits pains grillés";"France";"farine-de-ble~>Farine de _blé_,huile-vegetale-de-colza~>huile végétale de colza,sucre~>sucre,levure~>levure,oeufs-en-poudre-1~>_oeufs_ en poudre 1‚,equivalent-oeufs~>équivalent œufs,sel~>sel,gluten-de-ble~>gluten de _blé_,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique.";"Carrefour";"";"null";
3560070962181;"Focaccia olive & tomates séchées";"France";"farine-de-ble~>Farine de _blé_,eau~>eau,huiles-vegetales~>huiles végétales,tomates-sechees~>tomates séchées,olives-noires-3~>olives noires 3‚,olives-vertes-3~>olives vertes 3‚,levure~>levure,sel~>sel,sucre~>sucre,farine-de-riz~>farine de riz,extrait-d-ail~>extrait d'ail,conservateurs~>conservateurs,propionate-de-calcium-et-sorbate-de-potassium~>propionate de calcium et sorbate de potassium,arome-naturel-d-ail~>arôme naturel d'ail.,huile-de-colza~>huile de colza,huile-de-tournesol~>huile de tournesol,huile-d-olive-vierge-extra-1~>huile d'olive vierge extra 1‚";"Carrefour";"";"null";
3560070962303;"Bagels Pavot";"France";"";"Carrefour";"";"null";
3560070370436;"Pains au lait Bio (x 8) ";"France";"farine-de-ble~>Farine de _blé_*,eau~>eau,sucre-roux-de-canne~>sucre roux de canne*,huile-de-colza~>huile de colza*,oeufs~>_œufs_*,levain-issu-de-farines-de-seigle-et-de-ble-malte~>levain issu de farines de _seigle_* et de _blé_ malté*,lait-ecreme-en-poudre~>_lait_ écrémé en poudre,levure~>levure,sel~>sel,extrait-de-vanille~>extrait de vanille*,arome-naturel~>arôme naturel,fibre-de-guar~>fibre de guar,farine-de-seigle-biologique~>farine de _seigle_*. * biologique.";"Carrefour BIO,Carrefour";"Carrefour";"null";
3560070606931;"Pains spéciaux spécial burger";"France";"farine-de-ble~>Farine de blé,eau~>eau,sucre~>sucre,huile-de-tournesol~>huile de tournesol,levure~>levure,graines-de-sesame~>graines de sésame,sel~>sel,correcteur-d-acidite~>correcteur d'acidité,diacetate-de-sodium~>diacétate de sodium,emulsifiants~>émulsifiants,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique,arome-sur-support-d-alcool~>arôme sur support d'alcool.,steaoryl-2-lactylate-de-sodium~>stéaoryl-2-lactylate de sodium,esters-monoacetyltartriques-de-mono-et-diglycerides-d-acides-gras~>esters monoacétyltartriques de mono- et diglycérides d'acides gras,esters-diacetyltartriques-de-mono-et-diglycerides-d-acides-gras~>esters diacétyltartriques de mono- et diglycérides d'acides gras";"Carrefour";"Carrefour";"null";
3560070899753;"Pain de mie Complet - Extra moelleux";"France";"farine-complete-de-ble~>Farine complète de _blé_,eau~>eau,huile-de-colza~>huile de colza,sucre~>sucre,levure~>levure,gluten-de-ble~>gluten de _blé_,sel~>sel,farine-de-ble~>farine de _blé_,emulsifiants~>émulsifiants,mono~>mono,et-diglycerides-d-acides-gras~>et diglycérides d'acides gras,esters-monoacetyltartriques-et-diacetyltartriques-des-mono-et-diglycerides-d-acides-gras~>esters monoacétyltartriques et diacétyltartriques des mono- et diglycérides d'acides gras,stearoyl-2-lactylate-de-sodium~>stéaroyl-2-lactylate de sodium,conservateur~>conservateur,propionate-de-calcium~>propionate de calcium,extrait-de-malt-d-orge~>extrait de malt d'_orge_,agent-de-traitement-de-la-farine~>agent de traitement de la farine,acide-ascorbique~>acide ascorbique.";"Carrefour,Groupe Carrefour";"Carrefour";"null";
3560070218196;"Pain azyme";"France";"farine-de-froment~>Farine de froment,eau~>eau.";"Carrefour";"Carrefour Market,Dia";"null";
3560070879731;"Pain de seigle complet";"France";"";"Carrefour Bio,Carrefour";"";"null";
3560070879762;"Pain au seigle";"France";"farine-de-ble~>Farine de _blé_,eau~>eau,levain-de-seigle~>levain de _seigle_,farine-de-seigle~>farine de _seigle_,sel~>sel,levure~>levure,correcteur-d-acidite~>correcteur d'acidité,acetates-de-sodium~>acétates de sodium,emulsifiant~>émulsifiant,mono~>mono,et-diglycerides-d-acides-gras~>et diglycérides d'acides gras,gluten-de-ble~>gluten de _blé_,farine-complete-d-avoine~>farine complète d'_avoine_.,farine-de-seigle~>farine de _seigle_,eau~>eau";"Carrefour";"Carrefour";"null";
3560070877546;"Mon pain de mie &quot;Moelleux aux céréales et graines&quot;";"France";"farine-de-ble~>Farine de blé,eau~>eau,flocons-de-ble-malte-toaste~>flocons de blé malté toasté,graines-de-tournesol-3~>graines de tournesol 3‚,gluten-de-ble~>gluten de blé,flocons-de-seigle-malte-1~>flocons de seigle malté 1‚,flocons-de-ble-1~>flocons de blé 1‚,huile-de-colza~>huile de colza,levure~>levure,sucre~>sucre,sel~>sel,vinaigre-d-alcool~>vinaigre d'alcool,dextrose~>dextrose,conservateur~>conservateur,propionate-de-calcium~>propionate de calcium,farine-d-orge-maltee-toastee-et-torrefiee-0~>farine d'orge maltée toastée et torréfiée 0‚,emulsifiant~>émulsifiant,esters-monoacetyltartriques-et-diacetyltartriques-des-mono~>esters monoacétyltartriques et diacétyltartriques des mono,et-diglycerides-d-acides-gras~>et diglycérides d'acides gras,graines-de-lin-brun-0~>graines de lin brun 0‚,graines-de-millet-0~>graines de millet 0‚,graines-de-pavot-0~>graines de pavot 0‚,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique.";"Carrefour";"Carrefour";"null";
3560070816507;"Baguette précuite";"France";"farine-de-ble~>Farine de _blé_,eau~>eau,levain~>levain,alcool~>alcool,levure~>levure,sel~>sel,gluten-de-ble~>gluten de _blé_,farine-de-ble-malte~>farine de _blé_ malté,farine-de-ble~>farine de _blé_,eau~>eau";"Carrefour";"Carrefour";"null";
