id;product_name;countries;ingredients;brands;stores;image_url;
20187866;"Petits pois";"France";"";"Freshona";"";"null";
26043494;"Haricots Verts, Très Fins ";"France";"haricots-verts~>Haricots verts,eau~>eau,sel~>sel.";"Fleurs des Champs,Aldi";"Aldi";"null";
3560070715619;"Châtaignes";"France";"chataignes~>Châtaignes";"Carrefour";"Carrefour";"null";
3560070539147;"Haricots verts extra-fins ";"France";"haricots-verts-extra-fins~>Haricots verts extra-fins,eau~>eau,sel~>sel.";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070532056;"Haricots verts Extra fins Bio";"France";"haricots-verts-bio~>Haricots verts bio,eau~>eau,sel-de-mer~>sel de mer.";"Carrefour BIO,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070539291;"Flageolets Extra fins";"France";"flageolets-verts-extra-fin~>Flageolets verts extra-fin,eau~>eau,sel~>sel,aromes-naturels~>arômes naturels,contient-ble~>contient _blé_,affermissant~>affermissant,chlorure-de-calcium~>chlorure de calcium.";"Carrefour";"Carrefour City";"null";
3560070532025;"Petits pois extra-fin";"France";"";"Carrefour Bio,Carrefour";"";"null";
3560070279104;"Fruits du verger";"France";"fruits~>Fruits,jus-de-raisin-a-base-de-concentre~>jus de raisin à base de concentré,acidifiant~>acidifiant,acide-citrique~>acide citrique,antioxydant~>antioxydant,acide-l~>acide L,ascorbique~>ascorbique.,peches~>pêches,poires~>poires";"Carrefour";"";"null";
3560070273546;"Pois chiches";"France";"pois-chiches~>pois chiches,eau~>eau,sel~>sel";"Carrefour";"Carrefour,Dia";"null";
3560070277513;"Champignons de Paris emincés";"France";"champignons~>Champignons,eau~>eau,sel~>sel,acidifiant~>acidifiant,acide-citrique~>acide citrique.";"Carrefour";"Carrefour Market";"null";
3560070272570;"Carrefour Mini Coeurs d'Artichauts";"France";"coeurs-d-artichauts~>Coeurs d'artichauts,eau~>eau,sel~>sel,acidifiant~>acidifiant,acide-citrique~>acide citrique";"Carrefour";"Carrefour";"null";
3560070272174;"Maïs";"France";"mais-bio~>Maïs bio,eau~>eau,sel-marin~>sel marin,jus-de-citron-bio~>jus de citron bio";"Carrefour bio";"Carrefour";"null";
3560070278046;"Double Concentré de tomates (28%) l\'Intense (3 x 70 g)";"France";"tomates~>Tomates,sel~>sel,acidifiant~>acidifiant,acide-citrique~>acide citrique.";"Carrefour";"Carrefour";"null";
3560070273454;"Haricots blancs";"France";"haricots-blancs-sec-trempes~>Haricots blancs sec trempés,eau~>eau,sel~>sel.";"Carrefour";"Carrefour Market,Dia";"null";
3560070134533;"Champignons de Paris";"France";"champignons-de-paris~>Champignons de Paris,eau~>eau,sel~>sel,acidifiant~>acidifiant,acide-citrique~>acide citrique,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique.";"Carrefour";"";"null";
3560070134502;"Champignons de paris entiers 1er choix";"France";"champignons-de-paris~>Champignons de Paris,eau~>eau,sel~>sel,acidifiant~>acidifiant,acide-citrique~>acide citrique,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique";"Carrefour";"";"null";
3560070657698;"Petits pois extra-fins à l'étuvée";"France";"petits-pois~>Petits pois,eau~>eau,sucre~>sucre,sel~>sel,arome-naturel~>arôme naturel.";"Carrefour";"Carrefour";"null";
3560070655717;"Brotes de judía mungo en conserva ecológicas &quot;Carrefour Bio&quot; A los tres pimientos";"España";"agua~>Agua,brotes-de-judia-mungo~>brotes de judía mungo*,pimiento-rojo-en-tiras~>pimiento rojo en tiras*,7~>7‚,pimiento-amarillo-en-tiras~>pimiento amarillo en tiras*,7~>7‚,pimiento-verde-en-tiras~>pimiento verde en tiras*,7~>7‚,vinagre-de-alcohol~>vinagre de alcohol*,azucar~>azúcar*,vinagre-de-vino-blanco-procedente-de-uva-bio~>vinagre de vino blanco procedente de uva Bio*,sal~>sal,concentrado-de-limon-y-antioxidante~>concentrado de limón* y antioxidante,300~>300).,ingredientes-procedentes-de-la-agricultura-ecologica~>* Ingredientes procedentes de la agricultura ecológica,~>.,acido-ascorbico~>ácido ascórbico,e~>E";"Carrefour Bio,//Propiedad de://,Carrefour S.A.";"Carrefour";"null";
3560070657636;"Haricots verts extra-fins coupés";"France";"haricots-verts-extra-fins-coupes~>Haricots verts extra-fins coupés,eau~>eau,sel~>sel.";"Carrefour";"Carrefour";"null";
3560070657759;"Carottes extra fines";"France";"carottes~>Carottes,eau~>eau,sucre~>sucre,sel~>sel.";"Carrefour";"Carrefour";"null";
3560070657728;"Petits pois et jeunes carottes extra-fins à l\'étuvée";"France";"legumes~>LÉGUMES,fins~>fins,minimum~>minimum,carottes~>carottes,minimum~>minimum,  jus~>].   JUS,~>.,petits-pois-extra~>Petits pois extra,eau~>eau,sucre~>sucre,sel~>sel,arome-naturel~>arôme naturel";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560071005573;"Mélange de 4 champignons";"France";"champignons~>Champignons,eau~>eau,sel~>sel.,champignons-de-paris~>Champignons de Paris,agaricus-bisporus~>Agaricus bisporus,bolets-jaunes~>Bolets jaunes,suillus-luteus-ou-granulatus~>Suillus luteus ou granulatus,pleurotes~>Pleurotes,pelurotus-ostreatus~>Pelurotus ostreatus,11~>11‚,pholiotes~>Pholiotes,pholiota-mutabilis~>Pholiota mutabilis,11~>11‚";"Carrefour";"Carrefour";"null";
3560070410033;"Cocktail d'Olives";"France";"olives-vertes-cassees~>Olives vertes cassées,eau~>eau,olives-noires~>olives noires,olives-cuquillo~>olives cuquillo,poivrons-rouges-6~>poivrons rouges 6‚,oignons-5~>oignons 5‚,sel~>sel,huile-de-tournesol~>huile de tournesol,herbes-de-provence-0~>herbes de Provence 0‚,arome-de-thym~>arôme de thym,acidifiant~>acidifiant,acide-citrique~>acide citrique,acide-acetique~>acide acétique),antioxygene~>antioxygène,acide-ascorbique~>acide ascorbique,conservateur~>conservateur,benzoate-de-sodium~>benzoate de sodium,acide-lactique~>acide lactique";"Carrefour";"Carrefour";"null";
3560070414406;"Haricots blancs sauce tomate BIO";"France";"haricots-blancs-secs-trempes-bio~>Haricots blancs secs trempés bio,sauce-tomate-bio~>sauce tomate bio,eau~>eau,double-concentre-de-tomaes-bio-13~>double concentré de tomaes bio 13‚,sucre-de-canne-bio~>sucre de canne bio,sel-marin~>sel marin,vinaigre-bio~>vinaigre bio,amidon-de-mais-bio~>amidon de maïs bio";"Carrefour,Carrefour BIO";"Carrefour";"null";
3560070513208;"Cœurs de palmier";"France";"coeurs-de-palmier~>Coeurs de palmier,eau~>eau,sel~>sel,acidifiant~>acidifiant,acide-citrique~>acide citrique,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique.";"Carrefour Discount";"Carrefour";"null";
3560070572625;"Lentilles Bio";"France";"lentilles-bio~>Lentilles bio,eau~>eau,sel-marin~>sel marin,sucre-de-canne-bio~>sucre de canne bio,anti-oxydant~>anti-oxydant,acide-ascorbique~>acide ascorbique.";"Carrefour,Carrefour BIO";"Carrefour";"null";
3560070705740;"Pommes de terre à rissoler ou servir en salade";"France";"";"Carrefour";"";"null";
3560070705719;"Flageolets verts extra fins";"France";"flageolets-verts-extra-fins~>Flageolets verts extra-fins,eau~>eau,sel~>sel,aromes-naturels~>arômes naturels,continet-du-ble~>continet du blé,affermissant~>affermissant,chlorure-de-calcium~>chlorure de calcium";"Carrefour";"Carrefour";"null";
3560070319015;"Haricots verts Très fins";"France";"haricots-verts~>Haricots verts,eau~>eau,sel~>sel.";"Carrefour,Groupe Carrefour";"Carrefour";"null";
3560070317660;"Epinards Hachés";"France";"epinards~>Épinards,eau~>eau,sel~>sel.";"Carrefour,Groupe Carrefour";"Carrefour market";"null";
