id;product_name;countries;ingredients;brands;stores;image_url;
20187866;"Petits pois";"France";"";"Freshona";"";"http://static.openfoodfacts.org/images/products/20187866/front_fr.3.400.jpg";
26043494;"Haricots Verts, Très Fins ";"France";""haricots-verts/Haricots verts","eau/eau","sel/sel.",";"Fleurs des Champs,Aldi";"Aldi";"http://static.openfoodfacts.org/images/products/26043494/front_fr.24.400.jpg";
3560070715619;"Châtaignes";"France";""chataignes/Châtaignes",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/5619/front_fr.16.400.jpg";
3560070539147;"Haricots verts extra-fins ";"France";""haricots-verts-extra-fins/Haricots verts extra-fins","eau/eau","sel/sel.",";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/053/9147/front_fr.16.400.jpg";
3560070532056;"Haricots verts Extra fins Bio";"France";""haricots-verts-bio/Haricots verts bio","eau/eau","sel-de-mer/sel de mer.",";"Carrefour BIO,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/053/2056/front_fr.12.400.jpg";
3560070532025;"Petits pois extra-fin";"France";"";"Carrefour Bio,Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/053/2025/front_fr.5.400.jpg";
3560070272570;"Carrefour Mini Coeurs d'Artichauts";"France";""coeurs-d-artichauts/Coeurs d'artichauts","eau/eau","sel/sel","acidifiant/acidifiant","acide-citrique/acide citrique",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/2570/front_fr.8.400.jpg";
3560070272174;"Maïs";"France";""mais-bio/Maïs bio","eau/eau","sel-marin/sel marin","jus-de-citron-bio/jus de citron bio",";"Carrefour bio";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/2174/front_fr.7.400.jpg";
3560070278046;"Double Concentré de tomates (28%) l\'Intense (3 x 70 g)";"France";""tomates/Tomates","sel/sel","acidifiant/acidifiant","acide-citrique/acide citrique.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/8046/front_fr.6.400.jpg";
3560070657698;"Petits pois extra-fins à l'étuvée";"France";""petits-pois/Petits pois","eau/eau","sucre/sucre","sel/sel","arome-naturel/arôme naturel.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/065/7698/front_fr.6.400.jpg";
3560070657636;"Haricots verts extra-fins coupés";"France";""haricots-verts-extra-fins-coupes/Haricots verts extra-fins coupés","eau/eau","sel/sel.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/065/7636/front_fr.8.400.jpg";
3560070657759;"Carottes extra fines";"France";""carottes/Carottes","eau/eau","sucre/sucre","sel/sel.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/065/7759/front_fr.7.400.jpg";
3560070657728;"Petits pois et jeunes carottes extra-fins à l\'étuvée";"France";""legumes/LÉGUMES","fins/fins","minimum/minimum","carottes/carottes","minimum/minimum","
jus/]. 
JUS","/.","petits-pois-extra/Petits pois extra","eau/eau","sucre/sucre","sel/sel","arome-naturel/arôme naturel",";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/065/7728/front_fr.10.400.jpg";
3560070410033;"Cocktail d'Olives";"France";""olives-vertes-cassees/Olives vertes cassées","eau/eau","olives-noires/olives noires","olives-cuquillo/olives cuquillo","poivrons-rouges-6/poivrons rouges 6‚","oignons-5/oignons 5‚","sel/sel","huile-de-tournesol/huile de tournesol","herbes-de-provence-0/herbes de Provence 0‚","arome-de-thym/arôme de thym","acidifiant/acidifiant","acide-citrique/acide citrique","acide-acetique/acide acétique)","antioxygene/antioxygène","acide-ascorbique/acide ascorbique","conservateur/conservateur","benzoate-de-sodium/benzoate de sodium","acide-lactique/acide lactique",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/041/0033/front_fr.7.400.jpg";
3560070572625;"Lentilles Bio";"France";""lentilles-bio/Lentilles bio","eau/eau","sel-marin/sel marin","sucre-de-canne-bio/sucre de canne bio","anti-oxydant/anti-oxydant","acide-ascorbique/acide ascorbique.",";"Carrefour,Carrefour BIO";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/057/2625/front_fr.4.400.jpg";
3560070705740;"Pommes de terre à rissoler ou servir en salade";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/070/5740/front_fr.9.400.jpg";
3560070319015;"Haricots verts Très fins";"France";""haricots-verts/Haricots verts","eau/eau","sel/sel.",";"Carrefour,Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/031/9015/front_fr.10.400.jpg";
3560070317660;"Epinards Hachés";"France";""epinards/Épinards","eau/eau","sel/sel.",";"Carrefour,Groupe Carrefour";"Carrefour market";"http://static.openfoodfacts.org/images/products/356/007/031/7660/front_fr.5.400.jpg";
3560070677498;"Choux de Bruxelles";"France";""choux-de-bruxelles/Choux de Bruxelles","eau/eau","sel/sel","sucre/sucre.",";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/067/7498/front_fr.3.400.jpg";
3560070375486;"Macédoine de légumes (5 Légumes)";"France";""legumes/Légumes","petits-pois/petits pois","flageolets/flageolets)","carottes/carottes","navets-
jus/navets. 
Jus","eau/eau","sel/sel.","legumes-verts-50-minimun/légumes verts 50 % minimun","haricots-verts/haricots verts",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/037/5486/front_fr.15.400.jpg";
3560070395750;"Haricots verts extra-fins";"France";""haricots-verts-extra-fins/Haricots verts extra-fins","eau/eau","sel/sel",";"En Cuisine,En Cuisine Les Garnitures,Promocash";"Carrefour market";"http://static.openfoodfacts.org/images/products/356/007/039/5750/front_fr.6.400.jpg";
3560071042691;"Panais des Pays de la Loire";"France";""panais/Panais","eau/eau","sel-marin/sel marin.",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/104/2691/front_fr.6.400.jpg";
3560071042721;"Rutabaga des Pays de la Loire";"France";""rutabaga/Rutabaga","eau/eau","sel-marin/sel marin.",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/104/2721/front_fr.7.400.jpg";
3560071042752;"Navet du bassin du Mont-Saint-Michel";"France";""navet/Navet","eau/eau","sel-marin/sel marin.",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/104/2752/front_fr.9.400.jpg";
3560070254613;"Cebollitas encurtidas &quot;Carrefour&quot;";"España";""cebollitas/Cebollitas","agua/agua","vinagre-de-vino/vinagre de vino","azucar/azúcar","sal/sal","conservador/conservador","220/220)","endurecedor/endurecedor","509/509).","dioxido-de-azufre/dióxido de azufre","e/E","cloruro-calcico/cloruro cálcico","e/E",";"Carrefour, //Propiedad de://, Carrefour S.A.";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/025/4613/front_es.6.400.jpg";
3560070257461;"Double Concentré de tomates (28%) l\'Intense";"France";""tomate/Tomate","sel/sel","acidifiant/acidifiant","acide-citrique/acide citrique",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/025/7461/front_fr.6.400.jpg";
3560070956319;"Haricots verts Extra Fins";"France";""haricots-verts-bio/Haricots verts bio","eau/eau","sel-de-mer/sel de mer",";"Carrefour Bio,Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/095/6319/front_fr.6.400.jpg";
3560070350889;"Châtaignes Pelées au feu";"France";""chataignes-issues-de-l-agriculture-biologique/Châtaignes issues de l'agriculture biologique","pelees-au-feu/pelées au feu","proviennent-de-chataigners-cultives-en-italie/proviennent de châtaigners cultivés en Italie","en-espagne-ou-au-portugal/en Espagne ou au Portugal",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/035/0889/front_fr.9.400.jpg";
3560070495726;"Cornichons en tranches aigres-doux";"France";""cornichons/Cornichons","eau/eau","vinaigre-d-alcool/vinaigre d'alcool","sucre/sucre","sel/sel","graines-de-moutarde/graines de _moutarde_","affermissant/affermissant","chlorure-de-calcium/chlorure de calcium","colorant/colorant","riboflavine/riboflavine","arome/arôme.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/049/5726/front_fr.6.400.jpg";
3560070509782;"Ajos encurtidos &quot;Carrefour&quot;";"España";""ajo/Ajo","contiene-sulfitos/contiene sulfitos","agua/agua","sal/sal","aceite-de-oliva-2/aceite de oliva 2%*","vinagre-de-vino/vinagre de vino","acidulante/acidulante","330/330)","antioxidante/antioxidante","300/300).","porcentaje-expresado-sobre-el-peso-neto/* Porcentaje expresado sobre el peso neto","/.","acido-citrico/ácido cítrico","e/E","acido-ascorbico/ácido ascórbico","e/E",";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/050/9782/front_es.5.400.jpg";
3560070819362;"Haricots verts extra fins";"France";""haricots-verts-extra-fins-bio/Haricots verts extra-fins bio","eau/eau","sel/sel.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/081/9362/front_fr.15.400.jpg";
3560070819270;"Légumes couscous";"France";""legumes/Légumes","eau/eau","sel/sel","concentre-de-tomate/concentré de tomate","sucre/sucre","acidifiant/acidifiant","acide-citrique/acide citrique","amidon-modifie-de-mais/amidon modifié de maïs","arome-couscous/arôme couscous","colorant/colorant","extrait-de-paprika/extrait de paprika.","navet/navet","courgette/courgette","pois-chiches/pois chiches","carotte/carotte","garniture-de-celeri/garniture de _céleri_","poivron-rouge-et-poivron-vert/poivron rouge et poivron vert",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/081/9270/front_fr.6.400.jpg";
3560070323067;"Haricots verts (Extra-fins)";"France";""haricots-verts-extra-fins/Haricots verts extra-fins","eau/eau","sel/sel.",";"Carrefour,Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/032/3067/front_fr.22.400.jpg";
