id;product_name;countries;ingredients;brands;stores;image_url;
3560070822003;"Saveur Agrumes Pétillant";"France";"jus-de-fruits-a-base-de-concentres~>Jus de fruits à base de concentrés,eau-de-source-gazeifiee-39~>eau de source gazéifiée 39‚,arome-naturel-d-agrumes~>arôme naturel d'agrumes,arome-naturel-de-pamplemousse-avec-autres-aromes-naturels~>arôme naturel de pamplemousse avec autres arômes naturels,arome-naturel~>arôme naturel,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique,colorant~>colorant,carmins~>carmins,raisin~>raisin,pamplemousse~>pamplemousse,orange~>orange";"Carrefour";"Carrefour Market";"null";
3560070824458;"Soda limonade saveur orange";"France";"eau-gazeifiee~>Eau gazéifiée,acidifiant~>acidifiant,acide-citrique~>acide citrique,edulcorants~>édulcorants,acesulfame-k-et-sucralose~>acésulfame K et sucralose,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique,arome~>arôme,stabilisants~>stabilisants,gomme-arabique-et-esters-glyceriques-de-resine-de-bois~>gomme arabique et esters glycériques de résine de bois,colorants~>colorants,carotenoides-et-beta~>caroténoïdes et bêta,apocarotenal~>apocaroténal.";"Carrefour Discount";"Carrefour City";"null";
3560070824700;"Cola Classic";"France";"eau-gazeifiee~>Eau gazéifiée,sucre~>sucre,colorant~>colorant,caramel-au-sulfite-d-ammonium~>caramel au sulfite d'ammonium,acidifiant~>acidifiant,acide-orthophosphorique~>acide orthophosphorique,arome-naturel~>arôme naturel,dont-extraits-vegetaux~>dont extraits végétaux,cafeine~>caféine.";"Carrefour";"Carrefour";"null";
3560070824441;"Limonade à l'arôme naturel de citron";"France";"eau-gazeifiee~>Eau gazéifiée,sucre~>sucre,acidifiant~>acidifiant,acide-citrique~>acide citrique,arome-naturel-de-citron-citron-vert~>arôme naturel de citron-citron vert,arome-naturel-de-citron~>arôme naturel de citron,edulcorants~>édulcorants,acesulfame-k-et-sucralose~>acésulfame K et sucralose.";"Produits Blancs,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour market";"null";
3560070715275;"Champagne demi-sec Bio Fleury";"France";"champagne-bio~>Champagne Bio";"Fleury";"Carrefour";"null";
3560070429899;"Eau minérale naturelle naturellement gazeuse";"France";"eau-minerale-naturelle-naturellement-gazeuse~>Eau minérale naturelle naturellement gazeuse";"Carrefour";"Carrefour";"null";
3560070269297;"Panaché";"France";"limonade~>Limonade,biere~>bière,~>.,eau-gazeifiee~>eau gazéifiée,sucre~>sucre,arome-naturel~>arôme naturel,colorant~>colorant,caramel-ammoniacal~>caramel ammoniacal,acidifiant~>acidifiant,acide-citrique~>acide citrique,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique,edulcorant~>édulcorant,sucralose~>sucralose,eau~>eau,malt-d-orge~>malt d'_orge_,maltose~>maltose,extrait-de-houblon~>extrait de houblon";"Carrefour";"";"null";
3560070577842;"Diabolo saveur grenadine aux arômes naturels Carrefour Kids";"France";"eau-gazeifiee~>Eau gazéifiée,sucre~>sucre,jus-de-fruits-a-base-de-concentre-0~>jus de fruits à base de concentré 0‚,acidifiant~>acidifiant,acide-citrique~>acide citrique,aromes-naturels~>arômes naturels,colorants~>colorants,anthocyanes~>anthocyanes,acide-carminique~>acide carminique.,fraise-0~>fraise 0‚,framboise-0~>framboise 0‚";"Carrefour";"Carrefour";"null";
3560070577439;"Lemon";"France";"eau-gazeifiee~>Eau gazéifiée,sucre~>sucre,acidifiant~>acidifiant,acide-citrique~>acide citrique,arome-naturel-de-citron-avec-d-autres-aromes-naturels~>arôme naturel de citron avec d'autres arômes naturels,edulcorants~>édulcorants,acesulfame-k-et-sucralose~>acésulfame K et sucralose,stabilisant~>stabilisant,esters-glyceriques-de-resines-de-bois~>esters glycériques de résines de bois";"Carrefour";"Carrefour";"null";
3560070836642;"Eau minerale source du roy";"France";"";"Carrefour";"";"null";
3560070790883;"Diabolo saveur exotique aux arômes naturels Carrefour Kids";"France";"eau-gazeifiee~>Eau gazéifiée,sucre~>sucre,jus-de-fruits-a-base-de-concentres~>jus de fruits à base de concentrés,aromes-naturels~>arômes naturels,acidifiant~>acidifiant,acide-citrique~>acide citrique,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique,colorants~>colorants,beta~>bêta,carotene~>carotène,acide-carminique~>acide carminique.,orange~>orange,mangue~>mangue,passion~>passion";"Carrefour";"Carrefour";"null";
3560070791118;"Limonade au sucre de canne Bio Carrefour";"France";"eau-gazeifiee~>Eau gazéifiée,sirop-de-sucre-de-canne-biologique-9~>sirop de sucre de canne biologique 9‚,acidifiant~>acidifiant,acide-citrique~>acide citrique,arome-naturel-de-citron~>arôme naturel de citron.";"Carrefour";"Carrefour";"null";
3560070254132;"Cola Light";"France";"eau-gazeifiee~>Eau gazéifiée,colorant~>colorant,caramel-au-sulfite-d-ammonium~>caramel au sulfite d'ammonium,acidifiants~>acidifiants,acide-orthophosphorique-et-citrates-de-sodium~>acide orthophosphorique et citrates de sodium,edulcorants~>édulcorants,acesulfame~>acésulfame,k-et-sucralose~>K et sucralose,arome-naturel~>arôme naturel,dont-extraits-vegetaux~>dont extraits végétaux,cafeine~>caféine.";"Carrefour";"Carrefour";"null";
3560070254101;"Cola extrait de Stévia";"France";"eau-gazeifiee~>Eau gazéifiée,sucre~>sucre,colorant~>colorant,caramel-au-sulfite-d-ammonium~>caramel au sulfite d'ammonium,acidifiant~>acidifiant,acide-phosphorique~>acide phosphorique,arome-naturel~>arôme naturel,dont-extraits-vegetaux~>dont extraits végétaux,edulcorant~>édulcorant,cafeine~>caféine.,glycosides-de-steviol~>glycosides de stéviol,0~>0‚";"Carrefour";"Carrefour Market";"null";
