id;product_name;countries;ingredients;brands;stores;image_url;
20024710;"Fromage Doux et Crémeux (31 % MG)";"France";"lait-pasteurise~>Lait pasteurisé,sel~>sel,ferments-lactiques-et-d-affinage~>ferments lactiques et d'affinage.";"Chêne d'argent,Lidl Stiftung & Co. KG";"Lidl";"null";
04612449;"Parmigiano reggiano parmesan affiné 22 mois râpé frais";"France";"";"Giovanni Ferrari";"";"null";
22125293;"Französischer Brie";"Deutschland";"pasteurisierte-kuhmilch~>pasteurisierte _Kuhmilch_,salz~>Salz,milchsaurebakterien-und-reifungskulturen~>Milchsäurebakterien und Reifungskulturen,mikrobieller-labaustauschstoff~>mikrobieller Labaustauschstoff";"Roi De Trefle,Lactalis";"";"null";
3569580000024;"Fromage de vache au lait cru entier";"France";"lait-cru-entier~>_Lait_ cru entier.";"EARL Besson";"Leclerc";"null";
3560070803699;"Mozzarella spécial cuisine";"France";"lait-de-vache-pasteurise~>_Lait_ de vache pasteurisé,sel~>sel,coagulant-microbien~>coagulant microbien,correcteur-d-acidite~>correcteur d'acidité,acide-citrique~>acide citrique.";"Carrefour";"Carrefour";"null";
3560070719839;"Maddamer";"France";"lait-de-vache-pasteurise~>_Lait_ de vache pasteurisé,sel~>sel,ferments-lactiques~>ferments _lactiques_,coagulant-microbien~>coagulant microbien,colorant~>colorant,rocou~>rocou.";"Carrefour";"Carrefour";"null";
3560070530564;"Bûche";"France";"lait-de-vache-pasteurise~>Lait de vache pasteurisé,lait-de-chevre-pasteurise~>lait de chèvre pasteurisé,sel~>sel,ferments-lactiques-et-d-affinage~>ferments lactiques et d'affinage,presure~>présure";"Carrefour Discount";"Carrefour";"null";
3560070531134;"Bûche de chèvre";"France";"lait-de-chevre-pasteurise~>Lait de chèvre pasteurisé,sel~>sel,ferments-lactiques-et-d-affinage~>ferments lactiques et d'affinage,presure-animales-ou-coagulant-microbien~>présure animales ou coagulant microbien";"Carrefour";"DIA";"null";
3560070531271;"Fromage de chèvre à tartiner Bio Carrefour";"France";"lait-pasteurise-de-chevre-obtenu-selon-le-mode-de-production-biologique~>Lait pasteurisé de chèvre obtenu selon le mode de production biologique,sel~>sel,ferments-lactiques~>ferments lactiques,presure~>présure.";"Carrefour";"Carrefour";"null";
3560070533633;"Fromage à tartiner, ail et fines herbes (24 % MG)";"France";"lait-ecreme-de-vache-et-creme-pasteurises~>_Lait_ écrémé de vache et _crème_ pasteurisés,sel~>sel,babeurre-deshydrate~>babeurre déshydraté,ail-0~>ail 0‚,fines-herbes~>fines herbes,0~>0‚,proteines-de-lait~>protéines de _lait_,poivre~>poivre,ferments-lactiques~>ferments _lactiques_.,persil~>persil,ciboulette~>ciboulette";"Produits Blancs,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
