id;product_name;countries;ingredients;brands;stores;image_url;
20024710;"Fromage Doux et Crémeux (31 % MG)";"France";"lait-pasteurise~>Lait pasteurisé,sel~>sel,ferments-lactiques-et-d-affinage~>ferments lactiques et d'affinage.";"Chêne d'argent,Lidl Stiftung & Co. KG";"Lidl";"null";
22125293;"Französischer Brie";"Deutschland";"pasteurisierte-kuhmilch~>pasteurisierte _Kuhmilch_,salz~>Salz,milchsaurebakterien-und-reifungskulturen~>Milchsäurebakterien und Reifungskulturen,mikrobieller-labaustauschstoff~>mikrobieller Labaustauschstoff";"Roi De Trefle,Lactalis";"";"null";
3569580000024;"Fromage de vache au lait cru entier";"France";"lait-cru-entier~>_Lait_ cru entier.";"EARL Besson";"Leclerc";"null";
3560070533633;"Fromage à tartiner, ail et fines herbes (24 % MG)";"France";"lait-ecreme-de-vache-et-creme-pasteurises~>_Lait_ écrémé de vache et _crème_ pasteurisés,sel~>sel,babeurre-deshydrate~>babeurre déshydraté,ail-0~>ail 0‚,fines-herbes~>fines herbes,0~>0‚,proteines-de-lait~>protéines de _lait_,poivre~>poivre,ferments-lactiques~>ferments _lactiques_.,persil~>persil,ciboulette~>ciboulette";"Produits Blancs,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070279722;"Emmental râpé";"France";"lait-pasteurise-de-vache~>_Lait_ pasteurisé de vache,sel~>sel,enzyme-coagulante~>enzyme coagulante,ferments-lactiques~>ferments _lactiques_.";"Carrefour";"Dia";"null";
3560071006297;"Saint-Nectaire laitier AOP pour fondue (27% MG)";"France";"lait-pasteurise-de-vache~>_Lait_ pasteurisé de vache,sel~>sel,ferments-lactiques-et-d-affinage~>ferments _lactiques_ et d'affinage,presure-animale~>présure animale.";"Reflets de France";"Carrefour";"null";
3560070418084;"Havarti";"France";"lait-de-vache-pasteurise~>_Lait_ de vache pasteurisé,sel~>sel,ferments-lactiques~>ferments _lactiques_,coagulant-microbien~>coagulant microbien.";"Carrefour";"Carrefour";"null";
3560070514571;"Mascarpone Bio (36% MG) Crémeux";"France";"creme-de-lait-de-vache-pasteurisee-bio~>Crème de lait de vache pasteurisée Bio,correcteur-d-acidite~>correcteur d'acidité,acide-lactique~>acide lactique.";"Carrefour BIO,Carrefour";"Carrefour";"null";
3560070514847;"Ricotta";"France";"lactoserum-de-vache~>_Lactosérum_ de vache,creme-pasteurisee-de-vache~>_crème_ pasteurisée de vache,sel~>sel,correcteur-d-acidite~>correcteur d'acidité,acide-citrique~>acide citrique.";"carrefour";"Carrefour";"null";
3560070266685;"Fromage à tartiner, Noix (25 % MG) ";"France";"lait-de-vache-ecreme-et-creme-pasteurises~>Lait de vache écrémé et crème pasteurisés,cerneaux-de-noix~>cerneaux de noix,sel~>sel,babeurre-deshydrate~>babeurre déshydraté,arome-naturel~>arôme naturel,proteines-laitieres~>protéines laitières,ferments-lactiques~>ferments lactiques.";"Carrefour";"Carrefour market";"null";
3560070262557;"Mozzarella Au lait pasteurisé de vache (19 % MG)";"France";"lait-de-vache-pasteurise-biologique~>_Lait_ de vache pasteurisé biologique,sel~>sel,presure-animale~>présure animale,ferments-lactiques~>ferments lactiques.";"Carrefour BIO";"Carrefour,Banque alimentaire";"null";
3560070573264;"Petit reblochon au lait cru Bio";"Belgique";"lait-cru-de-vache~>lait cru de vache,sel~>sel,ferments~>ferments,presure-animale~>présure animale";"Carrefour,Carrefour Bio";"";"null";
3560070573202;"Tranches gourmandes spécial Sandwich (31% MG)";"France";"lait-pasteurise-de-vache~>_Lait_ pasteurisé de vache,sel~>sel,coagulant-microbien~>coagulant microbien,ferments-lactiques-et-d-affinage~>ferments _lactiques_ et d'affinage";"Carrefour";"Carrefour";"null";
3560070573233;"Petit brie (30 % MG) ";"France";"lait-de-vache-pasteurise~>Lait de vache pasteurisé,sel~>sel,ferments-lactiques-et-d-affinage~>ferments lactiques et d'affinage,enzyme-coagulante~>enzyme coagulante.";"Carrefour Discount";"Carrefour market";"null";
3560070925544;"Mozzarella light* (9 % MG)";"France";"lait-pasteurise-de-vache~>_Lait_ pasteurisé de vache,sel~>sel,coagulant-microbien~>coagulant microbien,ferments-lactiques~>ferments _lactiques_.";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Banque alimentaire";"null";
3560070927296;"Emmental français râpé au lait cru";"France";"";"Carrefour Bio";"";"null";
3461070799336;"Edam Holland (24% MG)";"France";"lait-de-vache-pasteurises~>_Lait_ de vache pasteurisés,sel~>sel,ferments-lactiques~>ferments lactiques,presure-de-veau~>présure de veau,colorant~>colorant,carotenoides-croute~>caroténoïdes. Croûte,conservateur~>conservateur,natamycine-croute-non-comestible~>natamycine. Croûte non comestible.";"Carrefour";"Carrefour";"null";
3560070799244;"Triolini 32 Portions (19,5 % MG)";"France";"lait-ecreme-reconstitue~>_Lait_ écrémé reconstitué,fromages~>_fromages_,beurre~>_beurre_,lactoserum~>_lactosérum_,sels-de-fonte~>sels de fonte,polyphosphates-de-sodium~>polyphosphates de sodium,citrates-de-sodium~>citrates de sodium,diphosphates-de-sodium~>diphosphates de sodium,epaississants~>épaississants,carraghenanes~>carraghénanes,gomme-xanthane~>gomme xanthane,farine-de-graine-de-caroube~>farine de graine de caroube.";"Carrefour Kids,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070799480;"Gouda Holland au cumin";"France";"lait-de-vache-pasteurise~>_lait_ de vache pasteurisé,sel~>sel,cumin~>cumin,ferments-lactiques~>ferments _lactiques_,presure-de-veau~>présure de veau,conservateur~>conservateur,nitrate-de-sodium~>nitrate de sodium,croute~>Croute,conservateur~>conservateur,natamycine~>natamycine";"Carrefour";"Dia";"null";
3560070370344;"Bleu (31% MG)";"France";"lait-pasteurise~>_Lait_ pasteurisé,sel~>sel,ferments-lactiques-et-d-affinage~>ferments _lactiques_ et d'affinage,presure-animale~>présure animale,penicillium-roqueforti~>Penicillium roqueforti.";"Carrefour";"";"null";
3560070379545;"Emmental râpé (27 % MG)";"Belgique,France";"emmental~>_Emmental_,amidon-de-pomme-de-terre-2~>amidon de pomme de terre 2 %.,lait-pasteurise-de-vache~>_Lait_ pasteurisé de vache,sel~>sel,ferments-lactiques~>ferments _lactiques_,coagulant-microbien~>coagulant microbien";"Produits Blancs,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour,GB carrefour";"null";
3560070607877;"Coulommiers Bio (22 % MG)";"France";"lait-de-vache-pasteurise-bio~>_Lait_ de vache pasteurisé bio,sel~>sel,ferments-lactiques-et-d-affinage~>_ferments lactiques_ et d'affinage,enzyme-coagulante~>enzyme coagulante.";"Carrefour BIO";"Carrefour,Banque alimentaire";"null";
3560070888634;"Mimolette vieille fabriquée en Normandie";"France";"lait-pasteurise-de-vache-origine-france~>_Lait_ pasteurisé de vache origine France,sel~>sel,ferments-lactiques~>ferments _lactiques_,presure-de-veau~>présure de veau,colorant~>colorant,rocou~>rocou,conservateur~>conservateur,nitrate-de-sodium~>nitrate de sodium.";"Reflets de France";"Carrefour";"null";
3560070888665;"Mimolette vieille";"France";"lait-pasteurise-de-vache-origine-france~>_Lait_ pasteurisé de vache origine France,sel~>sel,ferments-lactiques~>ferments _lactiques_,presure-de-veau~>présure de veau,colorant~>colorant,rocou~>rocou,conservateur~>conservateur,nitrite-de-sodium~>nitrite de sodium.";"Reflets de France";"Carrefour";"null";
3560070398287;"Fromage à raclette";"France";"lait-pasteurise-de-vache~>_Lait_ pasteurisé de vache,sel~>sel,ferments-lactiques~>ferments lactiques,coagulant~>coagulant,conservateur-de-surface~>conservateur de surface,natamycine~>natamycine,colorant-de-la-croute~>colorant de la croûte,rocou-et-caramel~>rocou et caramel";"Produits Blancs";"Dia";"null";
3560070891917;"Saint-Marcellin IGP (20% MG) Lait cru";"France";"lait-cru-de-vache~>Lait cru de vache,sel~>sel,ferments-lactiques~>ferments lactiques,presure-animale~>présure animale.";"Carrefour";"Carrefour Market,Banque alimentaire";"null";
null;"Gouda mi-vieux (6 tranches)";"Belgique";"lait-pasteurise~>lait pasteurisé,sel~>sel,ferments-lactiques~>ferments lactiques,presure~>présure,colorant~>colorant,rocou~>rocou,conservateur~>conservateur,nitrite-de-sodium~>nitrite de sodium";"Carrefour";"";"null";
