id;product_name;countries;ingredients;brands;stores;image_url;
40349060;"Feine Butter";"Deutschland";"butter-82-fett~>Butter 82% Fett";"Meggle";"";"null";
3560070713240;"Huile d'olive vierge extra Bio Carrefour";"France";"huile-d-olive-vierge-extra~>Huile d’olive vierge extra,extraite-a-froid~>extraite à froid,issue-de-l-agriculture-biologique~>issue de l'agriculture biologique.";"carrefour,Carrefour BIO";"carrefour";"null";
3560070655786;"Beurre moulé de baratte Demi-sel Bio";"France";"";"Carrefour";"";"null";
3560070590582;"Beurre moulé de baratte doux Bio Carrefour";"France";"creme-de-lait-pasteurisee-biologique~>Crème de lait pasteurisée biologique,ferments-lactiques~>ferments lactiques.";"Carrefour";"Carrefour";"null";
3560070590551;"Beurre doux";"France";"creme-pasteurisee~>crème pasteurisée,ferments-lactiques~>ferments lactiques.";"Carrefour";"Carrefour Market";"null";
3560070517091;"Huile d'Argan vierge bio Carrefour";"France";"huile-d-argan-vierge~>Huile d'Argan vierge,issue-d-amandons-torrefies~>issue d'amandons torréfiés,issus-de-l-agriculture-biologique~>issus de l'agriculture biologique,premiere-pression-a-froid~>Première pression à froid.";"Carrefour";"Carrefour";"null";
3560070517060;"Huile de noix riche en oméga 3 Carrefour";"France";"huile-de-noix-  conditionne-dans-un-atelier-utilisant-des-graines-de-sesame~>Huile de noix.  Conditionné dans un atelier utilisant des graines de sésame.";"Carrefour";"Carrefour";"null";
3560070926220;"Mélange d'huiles";"France";"huile-de-colza~>Huile de colza,huile-de-tournesol-a-haute-teneur-en-acide-oleique~>huile de tournesol à haute teneur en acide oléique,huile-de-tournesol~>huile de tournesol,huile-de-lin~>huile de lin,vitamine-d~>vitamine D";"Carrefour";"Carrefour";"null";
3560070600151;"Beurre Doux Extra-Fin (82 % MG)";"France";"creme-de-lait-pasteurisee~>Crème de _lait_ pasteurisée,ferments-lactiques~>ferments _lactiques_.";"Carrefour";"Carrefour";"null";
3560070482238;"Huile d'olive vierge extra";"France";"";"Carrefour";"";"null";
3560070731053;"Graisses de canard";"France";"";"";"";"null";
3560070453498;"Huile pimentée Carrefour";"France";"huile-de-tournesol~>Huile de tournesol,huile-d-olive-vierge-extra~>huile d'olive vierge extra,piments~>piments,aromes~>arômes.";"Carrefour";"Carrefour";"null";
3560070910366;"Huile d'olive, vierge extra Extraite à froid";"France";"huile-d-olive-de-categorie-superieure-obtenue-directement-des-olives-et-uniquement-par-des-procedes-mecaniques~>Huile d'olive de catégorie supérieure obtenue directement des olives et uniquement par des procédés mécaniques.";"Carrefour bio,Carrefour";"Dia";"null";
3560070616589;"Matière grasse végétale";"France";"huiles-et-graisses-vegetales~>Huiles et graisses végétales,eau~>eau,emulsifiant~>émulsifiant,mono~>mono,et-dyglycerides-d-acides-gras-de-colza-et-licithines-de-tournesol~>et dyglycérides d'acides gras de colza et licithines de tournesol,poudre-de-lait-ecreme~>poudre de lait écrémé,sel~>sel,0~>0‚,conservateur~>conservateur,sorbate-de-potassium~>sorbate de potassium,acidifiant~>acidifiant,acide-citrique~>acide citrique,colorant~>colorant,beta~>bêta,carotene~>carotène.,tournesol~>tournesol,palme~>palme,soja~>soja,coprah~>coprah,colza~>colza,palmiste~>palmiste";"Carrefour Discount";"Carrefour Market";"null";
3560070340439;"Huile de tournesol";"France";"huile-de-tournesol~>Huile de tournesol.";"Produits blancs";"Carrefour";"null";
