id;product_name;countries;ingredients;brands;stores;image_url;
20205546;"Jus multivitaminé";"France";"";"Vitafit";"Lidl";"null";
3560070820603;"Jus multifruits bio";"France";"jus-de-fruits~>Jus de fruits,raisin-blanc~>raisin blanc,pamplemousse-blanc-fruits-de-la-passion~>pamplemousse blanc fruits de la passion),puree-de-fruits~>purée de fruits,~>.,pomme~>pomme,orange~>orange,ananas~>ananas,banane~>banane,mangue~>mangue,peche~>pêche,abricot~>abricot";"Carrefour Bio,Carrefour";"";"null";
3560070820610;"Jus de pruneau bio";"Belgique,France";"eau~>eau,pruneau-biologique~>pruneau biologique";"Carrefour BIO";"Carrefour";"null";
3560070828265;"Grenade Bio";"France";"eau~>eau,jus-de-grenade-a-base-de-concentre~>jus de grenade à base de concentré,minimum~>minimum,sucre~>sucre,acidifiant~>acidifiant,acide-citrique~>acide citrique,arome-naturel~>arôme naturel.";"Carrefour Bio,Carrefour";"Carrefour";"null";
3560070820597;"100 % Pur fruit pressé, jus de pomme bio";"France";"jus-de-pomme-issu-de-l-agriculture-biologique~>Jus de pomme issu de l'agriculture biologique.";"Carrefour";"Carrefour";"null";
3560070823239;"Jus de pomme";"France";"";"Carrefour";"Carrefour";"null";
3560070823253;"";"France";"";"Carrefour";"";"null";
3560070828692;"Fruits du verger";"France";"jus-de-pomme~>Jus de pomme,76~>76‚,puree-de-peche~>purée de pêche,7~>7‚,puree-de-poire~>purée de poire,6~>6‚,puree-de-mirabelle~>purée de mirabelle,puree-d-abricot~>purée d'abricot,4~>4‚,vitamine-c~>vitamine C.";"Carrefour";"";"null";
3560070820566;"100 % pur fruit pressé, Jus de raisin bio";"France";"jus-de-raisin-rouge~>Jus de raisin rouge*,jus-de-raisin-blanc-    -issu-de-l-agriculture-biologique~>jus de raisin blanc*.    *Issu de l'agriculture biologique.";"Carrefour";"";"null";
3560070823277;"Jus de pamplemousse rose bio ";"Belgique,France";"jus-de-pamplemousse-rose-issu-de-l-agriculture-biologique~>Jus de pamplemousse rose issu de l'agriculture biologique.";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"";"null";
3560070823246;"Orange 100 % Pur Fruit Pressé Sans Pulpe";"France";"jus-d-orange~>Jus d'orange.";"Carrefour";"Carrefour";"null";
3560070825257;"Jus à base de concentré";"France";"jus-d-orange-a-base-de-concentre~>Jus d'orange à base de concentré";"Produits Blancs";"";"null";
