id;product_name;countries;ingredients;brands;stores;image_url;
26038728;"Remix gélifiés";"France";"sirop-de-glucose~>Sirop de glucose,sirop-de-sucre-melasse~>sirop de sucre mélassé,contient-des-sulfites~>contient des _sulfites_,sucre~>sucre,farine-de-ble~>farine de _blé_,gelatine~>gélatine,matiere-grasse-vegetale~>matière grasse végétale,palme~>palme,acidifiant~>acidifiant,acide-citrique~>acide citrique,sel~>sel,poudre-de-lait-entier~>poudre de _lait_ entier,aromes~>arômes,suc-de-reglisse~>suc de réglisse,huile-vegetale~>huile végétale,coprah~>coprah,agent-d-enrobage~>agent d'enrobage,cire-de-carnauba~>cire de carnauba,colorants~>colorants,e100~>E100,e120~>E120,e131~>E131,e160c~>E160c,amidon-de-ble~>amidon de _blé_.";"Petit Furet";"Harnes";"null";
2034975199993;"Espresso Caffee en grain 1Kg";"France";"";"";"";"null";
3567747050226;"2 Millefeuilles";"France";"creme-patissiere~>Crème pâtissière,64~>64‚,eau~>eau,sucre~>sucre,amidon-de-pomme-de-terre~>amidon de pomme de terre,poudre-de-lait-ecreme~>poudre de LAIT écrémé,matiere-grasse-vegetale~>matière grasse végétale,coco~>coco,poudre-de-lactoserum~>poudre de lactosérum,lait~>LAIT,gelifiants~>gélifiants,emulsifiant-e471~>émulsifiant E471,arome~>arôme,colorant~>colorant,beta~>bêta,carotene-    feuilletage~>carotène.    Feuilletage,24~>24‚,eau~>eau,huiles-vegetales~>huiles végétales,sel~>sel,sucre~>sucre,aromes-    glacage-marbre~>arômes.    Glaçage marbré,sucre~>sucre,sirop-de-glucose~>sirop de glucose,eau~>eau,huile-et-matiere-grasse-vegetales~>huile et matière grasse végétales,chocolat-en-poudre~>chocolat en poudre,colorant~>colorant,e172~>E172,humectant~>humectant,sirop-de-sorbitol~>sirop de sorbitol,emulsifiants~>émulsifiants,acidifiant-e334~>acidifiant E334,arome~>arôme.,alginates~>alginates,e450~>E450,e263~>E263,e339~>E339,farine-de-ble-fermente-ou-non~>farine de blé fermenté ou non,gluten~>GLUTEN,palme~>palme,colza~>colza,palme~>palme,colza~>colza,e471~>E471,e473~>E473";"Jean Michel Combaz";"Carrefour City";"null";
3560467100042;"Poudre de thé vert Matcha";"France";"the-vert-matcha-issu-de-l-agriculture-biologique~>thé vert Matcha issu de l'agriculture biologique";"";"Grandeur Nature";"null";
3560467790496;"Tisane petit déjeuner ";"France";"eglantier~>églantier,cynorhodon~>cynorhodon,bio~>bio,morceaux-de-pommes-bio~>morceaux de pommes bio,citronnelle-bio~>citronnelle bio,menthe-verte-bio~>menthe verte bio,hibiscus-bio~>hibiscus bio,fraise-bio~>fraise bio,paquerette-bio~>pâquerette bio,bleuet-bio~>bleuet bio,calendula-bio~>calendula bio";"Hildegarde de Bingen";"BioCoop";"null";
3560070712786;"Café moulu équilibré";"France";"cafe~>café";"Carrefour BIO";"Carrefour";"null";
3560070714087;"Moka Premium";"France";"cafe-moulu-pur-arabica~>Café moulu pur Arabica";"Carrefour";"Carrefour";"null";
3560070712571;"36 Dosettes décaféinées";"France";"cafe-decafeine-moulu~>café décaféiné moulu.";"Carrefour Discount";"Carrefour Market";"null";
3560070712878;"Dosettes café Corsé Bio";"France";"cafe~>café,du-poids-total~>du poids total,~>.";"Carrefour";"Carrefour";"null";
3560070712847;"Dosettes café équilibré Bio Carrefour";"France";"cafe~>café,du-poids-total~>du poids total,~>.";"carrefour bio";"carrefour";"null";
3560070277315;"Décaféiné Intense";"France";"cafe~>café.";"Carrefour";"Carrefour";"null";
3560070135127;"café soluble";"France";"";"carrefour,Carrefour BIO";"Carrefour Market";"null";
3560070659579;"Infusions 100% plaisir Cranberry - Framboise";"France";"hibiscus~>Hibiscus,pomme~>pomme,cynorrhodon~>cynorrhodon,aromes~>arômes,cranberry-0~>cranberry 0‚,framboise-0~>framboise 0‚";"Carrefour";"Carrefour";"null";
3560070595648;"Boisson au soja au miel ";"France";"jus-de-soja-bio~>Jus de soja bio,sucre-de-canne-bio~>sucre de canne bio,miel-bio-1~>miel bio 1‚,arome-naturel~>arôme naturel,epaississant~>épaississant,carraghenanes~>carraghénanes.,eau~>eau,graines-de-soja-bio-7~>graines de soja bio 7‚";"Carrefour,Groupe Carrefour";"Carrefour";"null";
3560070415724;"Thé vert ananas pamplemousse";"France";"the-vert-de-chine~>Thé vert de Chine,aromes-naturels-d-ananas-et-de-pamplemousse-rose-avec-autres-aromes-naturels~>arômes naturels d'ananas et de pamplemousse rose avec autres arômes naturels,ecorces-de-pamplemousse~>écorces de pamplemousse,morceaux-d-ananas-0~>morceaux d'ananas 0‚,fibres-vegetales~>fibres végétales.";"Carrefour";"Carrefour";"null";
3560070230891;"Infusions Camomille";"France";"camomille~>camomille.";"Carrefour";"Carrefour";"null";
3560070230839;"thé vert à la menthe";"France";"the-vert-80-  feuilles-de-menthe-13-  arome-naturel-de-menthe-avec-autres-aromes-naturels~>Thé vert 80%  Feuilles de menthe 13 %  Arôme naturel de menthe avec autres arômes naturels";"Carrefour";"Carrefour Market";"null";
