id;product_name;countries;ingredients;brands;stores;image_url;
2035806599999;"Beurre de cacahuètes";"France";"cacahuetes~>_Cacahuètes_,huile-de-tournesol~>huile de tournesol,dextrose~>dextrose,graisse-de-palme~>graisse de palme,sel~>sel.";"Hema";"";"null";
3560070824809;"Fraises Framboises";"France";"fruits~>Fruits,sucre-de-canne~>sucre de canne,gelifiant~>gélifiant,pectines-de-fruits~>pectines de fruits,acidifiant~>acidifiant,acide-citrique~>acide citrique.,fraises~>fraises,framboises~>framboises";"Selection Carrefour,Carrefour";"Carrefour";"null";
3560070825523;"Figues Cassis";"France";"figues~>Figues,sucre-de-canne~>sucre de canne,jus-de-cassis~>jus de cassis,gelifiant~>gélifiant,pectines-de-fruits~>pectines de fruits,acidifiant~>acidifiant,acide-citrique~>acide citrique.";"Sélection Carrefour,Carrefour";"Carrefour";"null";
3560070824793;"Abricots Mangues";"France";"abricots~>abricots,sucre-de-canne~>sucre de canne,puree-de-mangues~>purée de mangues,gelifiant~>gélifiant,pectines-de-fruits~>pectines de fruits,acidifiant~>acidifiant,acide-citrique~>acide citrique.";"Sélection Carrefour,Carrefour";"Carrefour";"null";
3560070272600;"Châtaigne";"France";"sucre~>Sucre,chataignes~>châtaignes,extrait-de-vanille~>extrait de vanille";"Carrefour";"Carrefour";"null";
3560070276141;"Confiture de framboises Bio";"France";"framboises~>framboises*,sucre-de-canne~>sucre de canne*,acidifiant~>acidifiant,acide-citrique~>acide citrique,gelifiant~>gélifiant,pectine-de-fruits~>pectine de fruits.";"Carrefour";"Carrefour";"null";
3560070279319;"Confiture framboises";"France";"framboises~>Framboises,sucre~>sucre,sucre-de-canne~>sucre de canne,gelifiant~>gélifiant,pectines~>pectines,acidifiant~>acidifiant,acide-citrique-preparee-avec-50-g-de-fruits-pour-100-g-de-produit-fini~>acide citrique. Préparée avec 50 g de fruits pour 100 g de produit fini.";"Carrefour";"Carrefour";"null";
3560070279289;"4 Fruits rouges";"France";"sucre~>Sucre,cerises~>cerises,fraises~>fraises,jus-concentre-de-groseilles~>jus concentré de groseilles,sucre-de-canne~>sucre de canne,framboises~>framboises,jus-concentre-de-framboises~>jus concentré de framboises,gelifiant~>gélifiant,pectines-de-fruits~>pectines de fruits,acidifiant~>acidifiant,acide-citrique~>acide citrique,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique.";"Carrefour";"Carrefour";"null";
3560070412150;"Cerise noires ";"France";"cerises-noires-origine-france~>Cerises noires origine France,sucre-de-canne~>sucre de canne,eau~>eau,jus-de-citron-concentre~>jus de citron concentré,gelifiant~>gélifiant,pectines~>pectines,acidifiant~>acidifiant,citrate-de-calcium~>citrate de calcium,extrait-de-vanille-bourbon~>extrait de vanille Bourbon";"Reflets de France";"Carrefour";"null";
3560070576999;"Confiture de framboises de Champagne-Ardenne";"France";"framboises-de-champagne-ardenne-entieres-et-tamisees~>Framboises de Champagne-Ardenne entières et tamisées,sucre-de-canne~>sucre de canne,gelifiant~>gélifiant,pectines~>pectines,acidifiant~>acidifiant,acide-citrique~>acide citrique.";"Reflets de France";"Carrefour";"null";
3560070701797;"Confiture de figues -30 % de sucres";"France";"figues~>Figues,sucre~>sucre,eau~>eau,gelifiant~>gélifiant,pectines-de-fruits~>pectines de fruits,acidifiants~>acidifiants,acide-citrique-et-lactate-de-calcium-preparee-avec-50-g-de-fruits-pour-100-g-de-produit-fini~>acide citrique et lactate de calcium. Préparée avec 50 g de fruits pour 100 g de produit fini.";"Carrefour";"Carrefour";"null";
3560070701674;"Confiture de fraises";"France";"fraises~>Fraises,sucre~>sucre,eau~>eau,gelifiant~>gélifiant,pectines-de-fruits~>pectines de fruits,acidifiants~>acidifiants,acide-citrique-et-lactate-de-calcium~>acide citrique et lactate de calcium.";"Carrefour";"";"null";
