id;product_name;countries;ingredients;brands;stores;image_url;
26038728;"Remix gélifiés";"France";""sirop-de-glucose/Sirop de glucose","sirop-de-sucre-melasse/sirop de sucre mélassé","contient-des-sulfites/contient des _sulfites_","sucre/sucre","farine-de-ble/farine de _blé_","gelatine/gélatine","matiere-grasse-vegetale/matière grasse végétale","palme/palme","acidifiant/acidifiant","acide-citrique/acide citrique","sel/sel","poudre-de-lait-entier/poudre de _lait_ entier","aromes/arômes","suc-de-reglisse/suc de réglisse","huile-vegetale/huile végétale","coprah/coprah","agent-d-enrobage/agent d'enrobage","cire-de-carnauba/cire de carnauba","colorants/colorants","e100/E100","e120/E120","e131/E131","e160c/E160c","amidon-de-ble/amidon de _blé_.",";"Petit Furet";"Harnes";"http://static.openfoodfacts.org/images/products/26038728/front_fr.5.400.jpg";
2034975199993;"Espresso Caffee en grain 1Kg";"France";"";"";"";"http://static.openfoodfacts.org/images/products/203/497/519/9993/front_fr.3.400.jpg";
3567747050226;"2 Millefeuilles";"France";""creme-patissiere/Crème pâtissière","64/64‚","eau/eau","sucre/sucre","amidon-de-pomme-de-terre/amidon de pomme de terre","poudre-de-lait-ecreme/poudre de LAIT écrémé","matiere-grasse-vegetale/matière grasse végétale","coco/coco","poudre-de-lactoserum/poudre de lactosérum","lait/LAIT","gelifiants/gélifiants","emulsifiant-e471/émulsifiant E471","arome/arôme","colorant/colorant","beta/bêta","carotene-

feuilletage/carotène.

Feuilletage","24/24‚","eau/eau","huiles-vegetales/huiles végétales","sel/sel","sucre/sucre","aromes-

glacage-marbre/arômes.

Glaçage marbré","sucre/sucre","sirop-de-glucose/sirop de glucose","eau/eau","huile-et-matiere-grasse-vegetales/huile et matière grasse végétales","chocolat-en-poudre/chocolat en poudre","colorant/colorant","e172/E172","humectant/humectant","sirop-de-sorbitol/sirop de sorbitol","emulsifiants/émulsifiants","acidifiant-e334/acidifiant E334","arome/arôme.","alginates/alginates","e450/E450","e263/E263","e339/E339","farine-de-ble-fermente-ou-non/farine de blé fermenté ou non","gluten/GLUTEN","palme/palme","colza/colza","palme/palme","colza/colza","e471/E471","e473/E473",";"Jean Michel Combaz";"Carrefour City";"http://static.openfoodfacts.org/images/products/356/774/705/0226/front_fr.5.400.jpg";
3560467100042;"Poudre de thé vert Matcha";"France";""the-vert-matcha-issu-de-l-agriculture-biologique/thé vert Matcha issu de l'agriculture biologique",";"";"Grandeur Nature";"http://static.openfoodfacts.org/images/products/356/046/710/0042/front_fr.8.400.jpg";
3560467790496;"Tisane petit déjeuner ";"France";""eglantier/églantier","cynorhodon/cynorhodon","bio/bio","morceaux-de-pommes-bio/morceaux de pommes bio","citronnelle-bio/citronnelle bio","menthe-verte-bio/menthe verte bio","hibiscus-bio/hibiscus bio","fraise-bio/fraise bio","paquerette-bio/pâquerette bio","bleuet-bio/bleuet bio","calendula-bio/calendula bio",";"Hildegarde de Bingen";"BioCoop";"http://static.openfoodfacts.org/images/products/356/046/779/0496/front_en.4.400.jpg";
3560070712786;"Café moulu équilibré";"France";""cafe/café",";"Carrefour BIO";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/2786/front_fr.7.400.jpg";
3560070714087;"Moka Premium";"France";""cafe-moulu-pur-arabica/Café moulu pur Arabica",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/4087/front_fr.7.400.jpg";
3560070712571;"36 Dosettes décaféinées";"France";""cafe-decafeine-moulu/café décaféiné moulu.",";"Carrefour Discount";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/071/2571/front_fr.6.400.jpg";
3560070712878;"Dosettes café Corsé Bio";"France";""cafe/café","du-poids-total/du poids total","/.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/2878/front_fr.18.400.jpg";
3560070712847;"Dosettes café équilibré Bio Carrefour";"France";""cafe/café","du-poids-total/du poids total","/.",";"carrefour bio";"carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/2847/front_fr.21.400.jpg";
3560070277315;"Décaféiné Intense";"France";""cafe/café.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/7315/front_fr.5.400.jpg";
3560070135127;"café soluble";"France";"";"carrefour,Carrefour BIO";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/013/5127/front_fr.6.400.jpg";
3560070659579;"Infusions 100% plaisir Cranberry - Framboise";"France";""hibiscus/Hibiscus","pomme/pomme","cynorrhodon/cynorrhodon","aromes/arômes","cranberry-0/cranberry 0‚","framboise-0/framboise 0‚",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/065/9579/front_fr.6.400.jpg";
3560070595648;"Boisson au soja au miel ";"France";""jus-de-soja-bio/Jus de soja bio","sucre-de-canne-bio/sucre de canne bio","miel-bio-1/miel bio 1‚","arome-naturel/arôme naturel","epaississant/épaississant","carraghenanes/carraghénanes.","eau/eau","graines-de-soja-bio-7/graines de soja bio 7‚",";"Carrefour,Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/059/5648/front_fr.6.400.jpg";
3560070415724;"Thé vert ananas pamplemousse";"France";""the-vert-de-chine/Thé vert de Chine","aromes-naturels-d-ananas-et-de-pamplemousse-rose-avec-autres-aromes-naturels/arômes naturels d'ananas et de pamplemousse rose avec autres arômes naturels","ecorces-de-pamplemousse/écorces de pamplemousse","morceaux-d-ananas-0/morceaux d'ananas 0‚","fibres-vegetales/fibres végétales.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/041/5724/front_fr.6.400.jpg";
3560070230891;"Infusions Camomille";"France";""camomille/camomille.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/023/0891/front_fr.7.400.jpg";
3560070230839;"thé vert à la menthe";"France";""the-vert-80-
feuilles-de-menthe-13-
arome-naturel-de-menthe-avec-autres-aromes-naturels/Thé vert 80%
Feuilles de menthe 13 %
Arôme naturel de menthe avec autres arômes naturels",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/023/0839/front_fr.5.400.jpg";
3560070232963;"infusions 100% plaisir - fruits rouges";"France";""hibiscus/Hibiscus","pomme/Pomme","cynorrhodon/Cynorrhodon","aromes/arômes","fruits-rouges-3/fruits rouges 3‚","fibres-vegetales/fibres végétales.","groseilles/groseilles","cerise/cerise","fraise-0/fraise 0‚","framboise-0/framboise 0‚","mure-0/mûre 0‚",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/023/2963/front_fr.11.400.jpg";
3560070233021;"Thé au 5 fruits rouges";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/023/3021/front_fr.6.400.jpg";
3560070928255;"Infusions Verveine Menthe";"France";""verveine/Verveine","menthe/menthe",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/092/8255/front_fr.9.400.jpg";
3560070319961;"Expresso";"France,Belgique";""cafe-soluble/Café soluble",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/031/9961/front_fr.7.400.jpg";
3560070830411;"Thé noir Pêche Mangue";"France";""the-noir/Thé noir","aromes/arômes","peche/pêche","mangue-2/mangue 2%.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/083/0411/front_fr.6.400.jpg";
3560070799633;"Stick thé vert saveur menthe";"France";""the-vert-aromatise-a-la-menthe/Thé vert aromatisé à la menthe.",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/079/9633/front_fr.8.400.jpg";
3560070637027;"Dosettes souples de thé vert aux arômes naturels de menthe";"France";""the-vert/The vert","arome-naturel-de-menthe/arôme naturel de menthe.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/063/7027/front_fr.3.400.jpg";
3560070888153;"Thé vert citron vert";"France";""the-vert/Thé vert","aromes/arômes","ecorces-de-citron-vert-2/écorces de citron vert 2 %.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/088/8153/front_fr.6.400.jpg";
3560070888139;"Thé aux 5 fruits rouges";"France";""the-noir/Thé noir","arome/arôme","fruits-rouges-deshydrates/fruits rouges déshydratés","/.","fraise/fraise","framboise/framboise","mure/mûre","groseille/groseille","granules-de-jus-de-cerise/granules de jus de cerise",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/088/8139/front_fr.6.400.jpg";
3560070888115;"Tilleul Linde";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/088/8115/front_fr.10.400.jpg";
3560070888108;"Thé citron";"France";""the-noir/Thé noir","arome-naturel-de-citron-avec-autres-aromes-naturels/arôme naturel de citron avec autres arômes naturels","ecorces-de-citron-2/écorces de citron 2%.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/088/8108/front_fr.7.400.jpg";
3560070497072;"Dosettes café - Spécial Petit déjeuner";"France";""cafe-moulu/café moulu",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/049/7072/front_fr.5.400.jpg";
3560070497133;"Infusion Ligne & équibre";"Belgique";""cynorrhodon-bio/Cynorrhodon bio","oranger-bigarade-feuille-bio/oranger bigarade feuille bio","oranger-ecorce-douce-bio/oranger écorce douce bio","citronnelle-bio/citronnelle bio","arome-naturel-de-mangue-avec-autres-aromes-naturels/arôme naturel de mangue avec autres arômes naturels","hibiscus-bio/hibiscus bio","fleur-de-sureau-bio/fleur de sureau bio",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/049/7133/front_fr.7.400.jpg";
3560070497164;"Thé Darjeeling";"France";""the-noir-darjeeling-bio/Thé noir Darjeeling bio.",";"Carrefour Bio,Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/049/7164/front_fr.7.400.jpg";
3560070770519;"Café moulu";"France";"";"Carrefour Discount,Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/077/0519/front_fr.4.400.jpg";
3560070502004;"Thé vert menthe douce";"France";"";"Carrefour BIO,Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/050/2004/front_fr.5.400.jpg";
3560070520862;"Infusion camomille";"France";""sommite-fleurie-de-camomille-matricaire-bio/Sommité fleurie de camomille matricaire bio.",";"Carrefour Bio";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/052/0862/front_fr.7.400.jpg";
3560070309771;"Rooibos en bolsitas";"España";""rooibos-100/Rooibos 100%.",";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/030/9771/front_es.4.400.jpg";
3560070734788;"Thé English Breakfast";"France";""the-noir/Thé noir",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/073/4788/front_fr.4.400.jpg";
3560070362127;"Pur Arabica";"France";""arabica/arabica.",";"Carrefour Discount,Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/036/2127/front_fr.7.400.jpg";
3560070361991;"Pur Arabica";"France";""arabica/arabica",";"Carrefour Discount";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/036/1991/front_fr.22.400.jpg";
3560070751174;"Infusion Tilleul Bio Carrefour";"France";""tilleul-biologique-100/Tilleul biologique 100%.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/075/1174/front_fr.18.400.jpg";
3560070751235;"Infusion Après-repas";"France";""menthe-poivree/menthe poivrée","verveine/verveine","camomille/camomille","melisse/mélisse","reglisse/réglisse","rooibos/rooibos","ecorce-de-citron-1/écorce de citron 1%.",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/075/1235/front_fr.8.400.jpg";
3560070755370;"Carrefour  dosettes  café  cappuccino";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/075/5370/front_en.4.400.jpg";
3560070751143;"Infusion Verveine Menthe Bio Carrefour";"France";""verveine-bio/Verveine bio","menthe-poivree-bio-50/Menthe poivrée bio 50%.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/075/1143/front_fr.18.400.jpg";
3560070479580;"Dosettes café Arabica équilibré";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/047/9580/front_en.3.400.jpg";
