id;product_name;countries;ingredients;brands;stores;image_url;
40349060;"Feine Butter";"Deutschland";""butter-82-fett/Butter 82% Fett",";"Meggle";"";"http://static.openfoodfacts.org/images/products/40349060/front_de.7.400.jpg";
2035806599999;"Beurre de cacahuètes";"France";""cacahuetes/_Cacahuètes_","huile-de-tournesol/huile de tournesol","dextrose/dextrose","graisse-de-palme/graisse de palme","sel/sel.",";"Hema";"";"http://static.openfoodfacts.org/images/products/203/580/659/9999/front_fr.11.400.jpg";
3560070824809;"Fraises Framboises";"France";""fruits/Fruits","sucre-de-canne/sucre de canne","gelifiant/gélifiant","pectines-de-fruits/pectines de fruits","acidifiant/acidifiant","acide-citrique/acide citrique.","fraises/fraises","framboises/framboises",";"Selection Carrefour,Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/082/4809/front_fr.8.400.jpg";
3560070823895;"Miel de Fleurs";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/082/3895/front_fr.5.400.jpg";
3560070825523;"Figues Cassis";"France";""figues/Figues","sucre-de-canne/sucre de canne","jus-de-cassis/jus de cassis","gelifiant/gélifiant","pectines-de-fruits/pectines de fruits","acidifiant/acidifiant","acide-citrique/acide citrique.",";"Sélection Carrefour,Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/082/5523/front_fr.5.400.jpg";
3560070824793;"Abricots Mangues";"France";""abricots/abricots","sucre-de-canne/sucre de canne","puree-de-mangues/purée de mangues","gelifiant/gélifiant","pectines-de-fruits/pectines de fruits","acidifiant/acidifiant","acide-citrique/acide citrique.",";"Sélection Carrefour,Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/082/4793/front_fr.10.400.jpg";
3560070802890;"Mousse forestière";"France";""eau/Eau","foie-de-porc/foie de porc","gras-de-porc/gras de porc","couenne-de-porc/couenne de porc","champignons-noirs-3/champignons noirs 3‚","farine-de-ble/farine de _blé_","sel/sel","gelatine-de-porc/gélatine de porc","arome/arôme","oignon-deshydrate/oignon déshydraté","sucre/sucre","coriandre/coriandre","poivre-noir/poivre noir","antioxydant/antioxydant","erythorbate-de-sodium/érythorbate de sodium","colorant/colorant","caramel-ordinaire/caramel ordinaire","conservateur/conservateur","nitrite-de-sodium/nitrite de sodium.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/080/2890/front_fr.4.400.jpg";
3560070717545;"Pâté de Campagne de Bretagne au Sel de Guérande";"France";""pate/Pâté","foie-de-porc/Foie de porc","gorge-de-porc/gorge de porc","gras-de-porc/gras de porc","oignons-frais/oignons frais","pieces-de-tete-et-couennes-de-porc-cuites/pièces de tête et couennes de porc cuites","sel-de-guerande-1/sel de Guérande 1‚","champignons-deshydrates/champignons déshydratés","epices-et-plantes-aromatiques/épices et plantes aromatiques","sucre/sucre","legumes-deshydrates/légumes déshydratés","tomates/tomates","ail/ail","vinaigre-d-alcool-decors/vinaigre d'alcool. Décors","crepine-de-porc/crépine de porc.","poivre/poivre","oignons/oignons","laurier/laurier",";"Reflets de France,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/7545/front_fr.3.400.jpg";
3560070533633;"Fromage à tartiner, ail et fines herbes (24 % MG)";"France";""lait-ecreme-de-vache-et-creme-pasteurises/_Lait_ écrémé de vache et _crème_ pasteurisés","sel/sel","babeurre-deshydrate/babeurre déshydraté","ail-0/ail 0‚","fines-herbes/fines herbes","0/0‚","proteines-de-lait/protéines de _lait_","poivre/poivre","ferments-lactiques/ferments _lactiques_.","persil/persil","ciboulette/ciboulette",";"Produits Blancs,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/053/3633/front_fr.8.400.jpg";
3560070279197;"Miel doux";"France";""melange-de-miels/Mélange de miels","originaires-et-non-de-la-ce-zones-de-recoltes/originaires et non de la CE. Zones de récoltes","amerique-latine-et-ce/Amérique latine et CE.",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/027/9197/front_fr.4.400.jpg";
3560070272099;"Rillettes de Saumon";"France";""saumon-rose-du-pacifique/_Saumon_ rose du Pacifique","oncorhynchus-gorbuscha/Oncorhynchus gorbuscha","eau/eau","huile-de-colza/huile de colza","thon/_thon_","katsuwonus-pelamis-ou-thunnus-albacares/Katsuwonus pelamis ou Thunnus albacares","arome/arôme","contient-poisson-et-lait/contient _poisson_ et _lait_","arome-de-fumee/arôme de fumée","contient-poisson-et-lait/contient _poisson_ et _lait_","tomates-en-poudre/tomates en poudre","sel/sel","blanc-d-oeuf-en-poudre/blanc d'_oeuf_ en poudre","proteines-de-lait-en-poudre/protéines de _lait_ en poudre","fibres-de-pomme-de-terre-en-poudre/fibres de pomme de terre en poudre","arome-naturel-de-poivre-avec-autres-aromes-naturels/arôme naturel de poivre avec autres arômes naturels","epaississants/épaississants","carraghenanes/carraghénanes","farine-de-graines-de-caroube/farine de graines de caroube",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/2099/front_fr.9.400.jpg";
3560070272600;"Châtaigne";"France";""sucre/Sucre","chataignes/châtaignes","extrait-de-vanille/extrait de vanille",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/2600/front_fr.10.400.jpg";
3560070276141;"Confiture de framboises Bio";"France";""framboises/framboises*","sucre-de-canne/sucre de canne*","acidifiant/acidifiant","acide-citrique/acide citrique","gelifiant/gélifiant","pectine-de-fruits/pectine de fruits.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/6141/front_fr.16.400.jpg";
3560070279319;"Confiture framboises";"France";""framboises/Framboises","sucre/sucre","sucre-de-canne/sucre de canne","gelifiant/gélifiant","pectines/pectines","acidifiant/acidifiant","acide-citrique-preparee-avec-50-g-de-fruits-pour-100-g-de-produit-fini/acide citrique. Préparée avec 50 g de fruits pour 100 g de produit fini.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/9319/front_fr.16.400.jpg";
