tt0000001 ; Carmencita ; 5.9 ; Documentary , Short ; William K.L. Dickson ; Carmencita ; 1894 ; 
tt0000002 ; Le clown et ses chiens ; 6.6 ; Animation , Short ; Émile Reynaud ; N/A ; 1892 ; 
tt0000003 ; Pauvre Pierrot ; 6.6 ; Animation , Comedy , Short ; Émile Reynaud ; N/A ; 1892 ; 
tt0000004 ; Un bon bock ; 6.5 ; Animation , Short ; Émile Reynaud ; N/A ; 1892 ; 
tt0000005 ; Blacksmith Scene ; 6.2 ; Short ; William K.L. Dickson ; Charles Kayser , John Ott ; 1893 ; 
tt0000006 ; Chinese Opium Den ; 6.0 ; Short ; William K.L. Dickson ; N/A ; 1894 ; 
tt0000007 ; Corbett and Courtney Before the Kinetograph ; 5.5 ; Short , Sport ; William K.L. Dickson, William Heise ; James J. Corbett , Peter Courtney ; 1894 ; 
tt0000008 ; Edison Kinetoscopic Record of a Sneeze ; 5.7 ; Documentary , Short ; William K.L. Dickson ; Fred Ott ; 1894 ; 
tt0000009 ; Miss Jerry ; 5.2 ; Romance ; Alexander Black ; Blanche Bayliss , William Courtenay , Chauncey Depew ; 1894 ; 
tt0000010 ; Employees Leaving the Lumière Factory ; 6.9 ; Documentary , Short ; Louis Lumière ; N/A ; 1895 ; 
tt0000011 ; Akrobatisches Potpourri ; 5.6 ; Documentary , Short ; Max Skladanowsky ; Grunato ; 1895 ; 
tt0000012 ; The Arrival of a Train ; 7.4 ; Documentary , Short ; Auguste Lumière, Louis Lumière ; N/A ; 1896 ; 
tt0000013 ; The Photographical Congress Arrives in Lyon ; 5.7 ; Documentary , Short ; Louis Lumière ; Auguste Lumière ; 1895 ; 
tt0000014 ; Tables Turned on the Gardener ; 7.1 ; Comedy , Short ; Louis Lumière ; François Clerc , Benoît Duval ; 1895 ; 
tt0000015 ; Autour d'une cabine ; 6.3 ; Animation , Short ; Émile Reynaud ; N/A ; 1894 ; 
